responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
70,raw_position_sample,2,2,int,9,1,6,7,-1,999,485,101,1884361.7000000002,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
112,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884402.7999999998,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
149,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884440.2999999998,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
213,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884504.6,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
260,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884551.2999999998,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
307,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884598.2000000002,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
354,raw_position_sample,2,2,int,9,1,6,7,-1,999,486,94,1884645,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
404,raw_position_sample,2,2,int,9,1,6,7,-1,999,490,102,1884695.1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
454,raw_position_sample,2,2,int,9,1,6,7,-1,999,506,125,1884745.2999999998,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
499,raw_position_sample,2,2,int,9,1,6,7,-1,999,526,144,1884790.5,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,intermediate,1,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,spotlight_PROLIFIC,,34,Brazil,Portugueses,N/A,,Portugueses:70|English:30,100,Portugueses:70|English:30,100,Portugueses:70|English:30,100,20,4,Bachelor's,10,10,10,8,8,8,7,7,7,8,TOEFL,80,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T09:24:45.229Z,645F54BW,2026-08-16,2026-08-16,06:24:45,2026-08-16 06:24:45,,,,,,,,69854f4fbd7db2777f282f6c,69854f4fbd7db2777f282f6c,,,,
