responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1612,raw_position_sample,2,1,ele,15,4,29,30,-1,999,739,411,1786196,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1662,raw_position_sample,2,1,ele,15,4,29,30,-1,999,742,414,1786247,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1712,raw_position_sample,2,1,ele,15,4,29,30,-1,999,742,414,1786296,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1762,raw_position_sample,2,1,ele,15,4,29,30,-1,999,742,414,1786347,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1813,raw_position_sample,2,1,ele,15,4,29,30,-1,999,742,414,1786397,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1864,raw_position_sample,2,1,ele,15,4,29,30,-1,999,742,414,1786448,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1914,raw_position_sample,2,1,ele,15,4,29,30,92, director ,704,376,1786498,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.066650390625,677.2999877929688,370.066650390625,742.3499908447266,7,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1918,hover_association,2,1,ele,15,4,29,30,92, director ,704,376,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.066650390625,677.3000030517578,380.066650390625,742.349983215332,7,5,hover,16,16,0.41045357555993967,0.898333740234375,100,,,,,,,,,,,,,,,EmTest1,EmTest1
1935,hover_association,2,1,ele,15,4,29,30,80," research,” ",666,340,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.066650390625,638.599983215332,340.066650390625,724.6666641235352,6,6,hover,16,16,0.3183580044627518,0.998333740234375,100,,,,,,,,,,,,,,,EmTest1,EmTest1
1951,hover_association,2,1,ele,15,4,29,30,64, impossible ,624,295,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,612.5333251953125,300.066650390625,702.599983215332,5,7,hover,17,17,0.12731320398430626,0.8733337160746987,100,,,,,,,,,,,,,,,EmTest1,EmTest1
1965,raw_position_sample,2,1,ele,15,4,29,30,63, is ,605,281,1786549,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,594.5333251953125,290.066650390625,612.5333251953125,5,6,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1969,hover_association,2,1,ele,15,4,29,30,63, is ,605,281,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,594.5333251953125,300.066650390625,612.5333251953125,5,6,hover,17,17,0.58148193359375,0.5233336493174837,100,,,,,,,,,,,,,,,EmTest1,EmTest1
2015,raw_position_sample,2,1,ele,15,4,29,30,62, It ,588,270,1786600,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,579.5333251953125,290.066650390625,594.5333251953125,5,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2066,raw_position_sample,2,1,ele,15,4,29,30,62, It ,588,270,1786650,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,579.5333251953125,290.066650390625,594.5333251953125,5,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2117,raw_position_sample,2,1,ele,15,4,29,30,62, It ,588,270,1786701,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,579.5333251953125,290.066650390625,594.5333251953125,5,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2167,raw_position_sample,2,1,ele,15,4,29,30,62, It ,588,270,1786751,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,579.5333251953125,290.066650390625,594.5333251953125,5,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2230,hover_association,2,1,ele,15,4,29,30,62, It ,594,273,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,579.533332824707,300.066650390625,594.5333251953125,5,5,hover,259,259,0.09777786141858999,0.1483335777918964,100,,,,,,,,,,,,,,,EmTest1,EmTest1
2237,raw_position_sample,2,1,ele,15,4,29,30,47, people ,570,259,1786821,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.06666564941406,563.5499877929688,250.06666564941406,622.6333160400391,4,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2239,hover_association,2,1,ele,15,4,29,30,47, people ,570,259,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,563.5499954223633,260.06665802001953,622.6333084106445,4,5,hover,10,10,0.10916795710010423,0.973333544413289,100,,,,,,,,,,,,,,,EmTest1,EmTest1
