responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
2005,raw_position_sample,2,1,ele,15,5,30,31,83, Baron-Cohen. ,731,338,1797612,EmTest1,EmTest1,310.066650390625,679.6500244140625,330.066650390625,791.7666931152344,6,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2030,hover_association,2,1,ele,15,5,30,31,83, Baron-Cohen. ,731,338,,EmTest1,EmTest1,300.066650390625,679.6500244140625,340.066650390625,794.8514149983724,6,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.21136876440842103,0.348333740234375,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2047,hover_association,2,1,ele,15,5,30,31,68, and ,651,275,,EmTest1,EmTest1,260.06665802001953,628.599983215332,300.066650390625,663.6499938964844,5,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.6390873026670222,0.37333362070724885,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2055,raw_position_sample,2,1,ele,15,5,30,31,50, might ,603,253,1797661,EmTest1,EmTest1,230.06666564941406,594.5833129882812,250.06666564941406,643.6166534423828,4,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2063,hover_association,2,1,ele,15,5,30,31,50, might ,603,253,,EmTest1,EmTest1,220.06666564941406,594.5833129882812,260.06665802001953,643.6166763305664,4,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.17165224732728884,0.823333515803054,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2080,hover_association,2,1,ele,15,5,30,31,47," minutes, ",533,224,,EmTest1,EmTest1,220.06666564941406,483.51666259765625,260.06665802001953,556.5666580200195,4,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.677390013732911,0.09833337752025176,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2096,hover_association,2,1,ele,15,5,30,31,32, with ,492,206,,EmTest1,EmTest1,180.06666564941406,467.50000762939453,220.06666564941406,504.51666259765625,3,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.661864028276242,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2105,raw_position_sample,2,1,ele,15,5,30,31,31, people ,458,190,1797712,EmTest1,EmTest1,190.06666564941406,408.41668701171875,210.06666564941406,467.50001525878906,3,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2113,hover_association,2,1,ele,15,5,30,31,31, people ,458,190,,EmTest1,EmTest1,180.06666564941406,408.41668701171875,220.06666564941406,467.50000762939453,3,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.8392099914141853,0.24833335876464843,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2156,raw_position_sample,2,1,ele,15,5,30,31,16, social ,421,159,1797762,EmTest1,EmTest1,150.06666564941406,408.41668701171875,170.06666564941406,459.45001220703125,2,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2206,raw_position_sample,2,1,ele,15,5,30,31,16, social ,420,144,1797812,EmTest1,EmTest1,150.06666564941406,408.41668701171875,170.06666564941406,459.45001220703125,2,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2231,hover_association,2,1,ele,15,5,30,31,16, social ,433,175,,EmTest1,EmTest1,140.06666564941406,408.41668701171875,180.06666564941406,459.45001220703125,2,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,116,116,0.2269754703216007,0.048333358764648435,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2256,raw_position_sample,2,1,ele,15,5,30,31,1," But, ",422,136,1797863,EmTest1,EmTest1,110.06666564941406,408.41668701171875,130.06666564941406,445.433349609375,1,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2307,raw_position_sample,2,1,ele,15,5,30,31,1," But, ",439,106,1797913,EmTest1,EmTest1,110.06666564941406,408.41668701171875,130.06666564941406,445.433349609375,1,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2313,hover_association,2,1,ele,15,5,30,31,1," But, ",420,140,,EmTest1,EmTest1,100.06666564941406,405.33196512858075,140.06666564941406,445.433349609375,1,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,84,84,0.8395728802715995,0.14833335876464843,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2357,raw_position_sample,2,1,ele,15,5,30,31,-1,999,442,98,1797964,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2408,raw_position_sample,2,1,ele,15,5,30,31,-1,999,442,98,1798015,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2459,raw_position_sample,2,1,ele,15,5,30,31,2, the ,458,104,1798065,EmTest1,EmTest1,110.06666564941406,445.433349609375,130.06666564941406,475.4666748046875,1,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2480,hover_association,2,1,ele,15,5,30,31,2, the ,448,102,,EmTest1,EmTest1,100.06666564941406,445.433349609375,140.06666564941406,475.4666748046875,1,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9178687411851256,0.19833335876464844,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2509,raw_position_sample,2,1,ele,15,5,30,31,3, scientists ,510,112,1798115,EmTest1,EmTest1,110.06666564941406,475.4666748046875,130.06666564941406,554.5000152587891,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
