responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
1058,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521731,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1105,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521778.39999985695,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1157,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521830,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1212,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521884.7999999523,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1260,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521933.09999990463,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1308,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,521981.5,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1362,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,522035.2999999523,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1412,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,522085,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1461,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,522134.5,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
1511,raw_position_sample,2,2,int,17,1,1,2,1, The ,189,104,522184.2999999523,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,93.07292175292969,155.375,116.73958969116211,192.33333587646484,1,1,intermediate,1,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,spotlight_PROLIFIC,,25,Brazil ,Portuguese,"Portuguese, english ",,Portuguese:90|English:10,100,Portuguese:80|English:20,100,Portuguese:95|English:5,100,20,7,PhD,10,10,10,8,10,10,18,22,18,21,Duolingo,140,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-08-16T11:19:02.528Z,8MPB87CP,2026-08-16,2026-08-16,08:19:02,2026-08-16 08:19:02,,,,,,,,69e8eca48a1c37bbb4568cd1,69e8eca48a1c37bbb4568cd1,,,,
