responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
50,raw_position_sample,2,1,ele,11,2,7,8,-1,999,346,98,163245,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
101,raw_position_sample,2,1,ele,11,2,7,8,-1,999,350,89,163296,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
151,raw_position_sample,2,1,ele,11,2,7,8,-1,999,350,89,163346,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
202,raw_position_sample,2,1,ele,11,2,7,8,-1,999,350,89,163396,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
252,raw_position_sample,2,1,ele,11,2,7,8,-1,999,359,93,163448,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
303,raw_position_sample,2,1,ele,11,2,7,8,-1,999,363,108,163497,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
353,raw_position_sample,2,1,ele,11,2,7,8,-1,999,390,130,163548,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
405,raw_position_sample,2,1,ele,11,2,7,8,19, and ,449,147,163599,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,423.433349609375,170.06666564941406,458.4833526611328,2,2,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
417,hover_association,2,1,ele,11,2,7,8,19, and ,427,144,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,423.433349609375,180.06666564941406,458.4833450317383,2,2,hover,33,33,0.7294337726022203,0.17333335876464845,130,,,,,,,,,,,,,,,EmTest5,EmTest5
455,raw_position_sample,2,1,ele,11,2,7,8,20," then, ",466,144,163649,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,458.48333740234375,170.06666564941406,503.53334045410156,2,3,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
467,hover_association,2,1,ele,11,2,7,8,20," then, ",459,147,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,458.4833450317383,180.06666564941406,503.53333282470703,2,3,hover,51,51,0.16685143185399248,0.09833335876464844,130,,,,,,,,,,,,,,,EmTest5,EmTest5
507,raw_position_sample,2,1,ele,11,2,7,8,2, idea ,486,132,163701,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,447.45001220703125,130.06666564941406,486.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
