responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
612,raw_position_sample,2,1,ele,6,3,8,9,-1,999,365,85,384094.89999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
661,raw_position_sample,2,1,ele,6,3,8,9,-1,999,380,95,384144.7000000477,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
711,raw_position_sample,2,1,ele,6,3,8,9,-1,999,392,104,384193.89999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
761,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,399,109,384244,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
812,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,403,113,384295,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
862,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,406,115,384345,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
911,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,407,115,384394.7000000477,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
962,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,407,115,384445.10000002384,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1013,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,407,115,384496.10000002384,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1062,raw_position_sample,2,1,ele,6,3,8,9,1, Duncan ,407,115,384545.7999999523,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,467.421875,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
