responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1161,raw_position_sample,2,2,int,26,4,20,21,114, German-speaking ,701,422,425045,EmTest3,EmTest3,430.066650390625,681.38330078125,450.066650390625,829.5166320800781,9,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1179,hover_association,2,2,int,26,4,20,21,114, German-speaking ,732,446,,EmTest3,EmTest3,420.066650390625,681.3833084106445,460.066650390625,829.5166473388672,9,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,36,36,0.13242590581760025,0.048333740234375,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1198,hover_association,2,2,int,26,4,20,21,97, Viennese ,650,384,,EmTest3,EmTest3,380.066650390625,573.566650390625,420.066650390625,653.3333129882812,8,6,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,20,20,0.9582117029880702,0.098333740234375,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1212,hover_association,2,2,int,26,4,20,21,73, ahead ,572,321,,EmTest3,EmTest3,300.066650390625,562.5833129882812,340.066650390625,617.6666717529297,6,5,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,13,13,0.17095339178485644,0.523333740234375,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1214,raw_position_sample,2,2,int,26,4,20,21,57, figures ,529,282,425099,EmTest3,EmTest3,270.066650390625,471.48333740234375,290.066650390625,530.5333404541016,5,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1228,hover_association,2,2,int,26,4,20,21,57, figures ,529,282,,EmTest3,EmTest3,260.06665802001953,471.4833450317383,300.066650390625,530.533332824707,5,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.9740333083542211,0.5483336540858562,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1245,hover_association,2,2,int,26,4,20,21,42, business ,474,230,,EmTest3,EmTest3,220.06666564941406,408.41668701171875,260.06665802001953,484.4833450317383,4,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.8621821267738721,0.2483334061304867,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1261,hover_association,2,2,int,26,4,20,21,27, of ,455,214,,EmTest3,EmTest3,180.06666564941406,436.433349609375,220.06666564941406,456.45001220703125,3,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.927559741792269,0.8483333587646484,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1265,raw_position_sample,2,2,int,26,4,20,21,26, fall ,435,199,425150,EmTest3,EmTest3,190.06666564941406,408.41668701171875,210.06666564941406,436.433349609375,3,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1316,raw_position_sample,2,2,int,26,4,20,21,26, fall ,410,188,425200,EmTest3,EmTest3,190.06666564941406,408.41668701171875,210.06666564941406,436.433349609375,3,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1328,hover_association,2,2,int,26,4,20,21,26, fall ,435,199,,EmTest3,EmTest3,180.06666564941406,408.41668701171875,220.06666564941406,436.433349609375,3,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,67,67,0.05651326180491258,0.19833335876464844,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1366,raw_position_sample,2,2,int,26,4,20,21,-1,999,406,187,425250,EmTest3,EmTest3,,,,,,,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1416,raw_position_sample,2,2,int,26,4,20,21,-1,999,405,180,425300,EmTest3,EmTest3,,,,,,,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1467,raw_position_sample,2,2,int,26,4,20,21,13," Eichtinger, ",421,142,425351,EmTest3,EmTest3,150.06666564941406,408.41668701171875,170.06666564941406,497.4833526611328,2,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1479,hover_association,2,2,int,26,4,20,21,13," Eichtinger, ",414,157,,EmTest3,EmTest3,140.06666564941406,408.41668701171875,180.06666564941406,497.4833450317383,2,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.1412797254102977,0.048333358764648435,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1513,hover_association,2,2,int,26,4,20,21,1, “Our ,430,118,,EmTest3,EmTest3,100.06666564941406,404.9986317952474,140.06666564941406,449.433349609375,1,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.6526736216952389,0.14833335876464843,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1518,raw_position_sample,2,2,int,26,4,20,21,-1,999,434,97,425401,EmTest3,EmTest3,,,,,,,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1568,raw_position_sample,2,2,int,26,4,20,21,-1,999,434,93,425451,EmTest3,EmTest3,,,,,,,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1618,raw_position_sample,2,2,int,26,4,20,21,-1,999,440,98,425502,EmTest3,EmTest3,,,,,,,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1668,raw_position_sample,2,2,int,26,4,20,21,1, “Our ,445,102,425553,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,449.433349609375,1,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1695,hover_association,2,2,int,26,4,20,21,1, “Our ,444,101,,EmTest3,EmTest3,100.06666564941406,404.9986317952474,140.06666564941406,449.433349609375,1,1,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9452376490933552,0.048333358764648435,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1720,raw_position_sample,2,2,int,26,4,20,21,2, big ,457,103,425604,EmTest3,EmTest3,110.06666564941406,449.433349609375,130.06666564941406,478.4666748046875,1,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1771,raw_position_sample,2,2,int,26,4,20,21,2, big ,477,106,425655,EmTest3,EmTest3,110.06666564941406,449.433349609375,130.06666564941406,478.4666748046875,1,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1779,hover_association,2,2,int,26,4,20,21,2, big ,452,103,,EmTest3,EmTest3,100.06666564941406,449.433349609375,140.06666564941406,478.4666748046875,1,2,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,83,83,0.9494830580093424,0.14833335876464843,128,,,,,,,,,,,,,,,EmTest3,EmTest3
1796,hover_association,2,2,int,26,4,20,21,3, USP ,502,107,,EmTest3,EmTest3,100.06666564941406,478.4666748046875,140.06666564941406,520.4666748046875,1,3,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.5603172665550595,0.17333335876464845,128,,,,,,,,,,,,,,,EmTest3,EmTest3
