responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
889,raw_position_sample,2,1,ele,30,3,13,14,-1,999,606,346,208251,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
907,hover_association,2,1,ele,30,3,13,14,46, technology ,466,233,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.2991312761302647,0.3233334204356042,82,220.06666564941406,438.45001220703125,260.06665802001953,530.5500030517578,4,2,,,,,,,,,,,,,,,EmTest4,EmTest4
939,raw_position_sample,2,1,ele,30,3,13,14,31, crash ,429,199,208302,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.06666564941406,408.41668701171875,210.06666564941406,457.45001220703125,3,1,,,,,,,,,,,,,,,EmTest4,EmTest4
946,hover_association,2,1,ele,30,3,13,14,31, crash ,429,199,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,39,39,0.4197821156589433,0.47333335876464844,82,180.06666564941406,408.41668701171875,220.06666564941406,457.45001220703125,3,1,,,,,,,,,,,,,,,EmTest4,EmTest4
991,raw_position_sample,2,1,ele,30,3,13,14,-1,999,390,149,208353,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1043,raw_position_sample,2,1,ele,30,3,13,14,-1,999,392,135,208405,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1093,raw_position_sample,2,1,ele,30,3,13,14,-1,999,392,129,208455,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1143,raw_position_sample,2,1,ele,30,3,13,14,-1,999,392,129,208505,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1193,raw_position_sample,2,1,ele,30,3,13,14,1, One ,420,126,208556,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,447.45001220703125,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1223,hover_association,2,1,ele,30,3,13,14,1, One ,420,126,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.8497784282636094,0.6483333587646485,82,100.06666564941406,404.5133544921875,140.06666564941406,447.45001220703125,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
