responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1099,hover_association,2,2,int,7,4,15,16,80, riders ,528,324,hover,12.300000190734863,12.300000190734863,0.07029053420805999,0.784375,103,33916,33916,33916,292.625,524.484375,332.625,574.5,6,4,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,raw_position_sample,2,2,int,7,4,15,16,-1,999,528,324,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726446.0999999046,,,,,,,,,,,
1119,hover_association,2,2,int,7,4,15,16,51, e-bikes ,479,238,hover,16.5,16.5,0.29449677739216656,0.634375,103,33916,33916,33916,212.625,460.4375,252.625,523.46875,4,3,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726496.2000002861,,,,,,,,,,,
1201,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726546.3000001907,,,,,,,,,,,
1251,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726596.0999999046,,,,,,,,,,,
1302,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726647.3000001907,,,,,,,,,,,
1351,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726696.4000000954,,,,,,,,,,,
1401,raw_position_sample,2,2,int,7,4,15,16,-1,999,416,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726746.4000000954,,,,,,,,,,,
1451,raw_position_sample,2,2,int,7,4,15,16,-1,999,364,90,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726796.4000000954,,,,,,,,,,,
1453,hover_association,2,2,int,7,4,15,16,1, To ,360,95,hover,1,1,0.6154124195763754,0.059375,103,33916,33916,33916,92.625,343.373046875,132.625,370.390625,1,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,hover_association,2,2,int,7,4,15,16,1, To ,356,100,hover,0.7999997138977051,0.7999997138977051,0.46736065929299503,0.184375,103,33916,33916,33916,92.625,343.373046875,132.625,370.390625,1,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,hover_association,2,2,int,7,4,15,16,1, To ,353,103,hover,0.8000001907348633,0.8000001907348633,0.3563218390804598,0.259375,103,33916,33916,33916,92.625,343.373046875,132.625,370.390625,1,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,raw_position_sample,2,2,int,7,4,15,16,-1,999,353,103,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726846.4000000954,,,,,,,,,,,
