responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
424,raw_position_sample,2,2,int,8,5,15,16,-1,999,355,93,881635.6999999881,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
468,raw_position_sample,2,2,int,8,5,15,16,-1,999,387,116,881680.1999999881,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
518,raw_position_sample,2,2,int,8,5,15,16,-1,999,396,123,881730,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
580,raw_position_sample,2,2,int,8,5,15,16,-1,999,396,123,881792.1999999881,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
624,raw_position_sample,2,2,int,8,5,15,16,-1,999,396,123,881835.8999999762,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
668,raw_position_sample,2,2,int,8,5,15,16,-1,999,400,126,881880.0999999642,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
718,raw_position_sample,2,2,int,8,5,15,16,-1,999,401,128,881930.0999999642,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
780,raw_position_sample,2,2,int,8,5,15,16,-1,999,401,128,881992,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
818,raw_position_sample,2,2,int,8,5,15,16,-1,999,406,130,882029.8999999762,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
872,raw_position_sample,2,2,int,8,5,15,16,1, The ,434,125,882084,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.09375762939453,421.0069580078125,131.09375762939453,457.0139045715332,1,1,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
918,raw_position_sample,2,2,int,8,5,15,16,1, The ,456,123,882130.3999999762,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.09375762939453,421.0069580078125,131.09375762939453,457.0139045715332,1,1,,,,,,,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
933,hover_association,2,2,int,8,5,15,16,1, The ,424,127,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,intermediate,5,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,spotlight_PROLIFIC,,33,Mexico,Spanish,"Spanish, English, German",German,Spanish:50|English:40|German:10,100,Spanish:35|English:60|German:5,100,Spanish:65|English:30|German:5,100,20,0,Bachelor's,10,10,10,10,10,10,5,10,7,10,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,101.0937614440918,417.40626335144043,141.09375381469727,457.0139102935791,1,1,hover,83.19999998807907,83.19999998807907,0.9744011479636676,0.5476560683548104,99,,,,,,2026-07-02T16:25:56.363Z,QF6KRZFW,2026-07-02,2026-07-02,10:25:56,2026-07-02 10:25:56,,,,,,,,6172c19ff79e4bec69b80c10,6172c19ff79e4bec69b80c10,,,,
