responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
27,raw_position_sample,2,3,adv,2,5,10,11,-1,999,363,111,2194198.7000000477,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
69,raw_position_sample,2,3,adv,2,5,10,11,-1,999,352,103,2194240.2999999523,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
132,raw_position_sample,2,3,adv,2,5,10,11,-1,999,352,102,2194303.7000000477,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
177,raw_position_sample,2,3,adv,2,5,10,11,-1,999,352,102,2194348.7999999523,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
226,raw_position_sample,2,3,adv,2,5,10,11,-1,999,352,102,2194397.2999999523,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
272,raw_position_sample,2,3,adv,2,5,10,11,-1,999,352,102,2194442.9000000954,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
318,raw_position_sample,2,3,adv,2,5,10,11,-1,999,359,102,2194489.7999999523,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
369,raw_position_sample,2,3,adv,2,5,10,11,-1,999,393,108,2194540,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
419,raw_position_sample,2,3,adv,2,5,10,11,1," “Overall, ",438,108,2194590.2999999523,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
484,raw_position_sample,2,3,adv,2,5,10,11,1," “Overall, ",450,108,2194655.7000000477,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,advanced,5,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,spotlight_PROLIFIC,,46,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:70|English:30,100,Spanish:70|English:30,100,18,1,Bachelor's,10,10,10,7,9,9,5,12,6,10,DELEX,N/A,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,,,,,,,,,,,,2026-08-03T13:54:59.380Z,U8NE5YDG,2026-08-03,2026-08-03,07:54:59,2026-08-03 07:54:59,,,,,,,,697bcb5cb1486a58c3669bda,697bcb5cb1486a58c3669bda,,,,
