participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,1, The ,1834,334,74,0,266.7000000476837,0.9293611793611793,0.663671875,55.453125,333.175,95.453125,373.875,1,1,No,1,1,12266,334,74,1834,375,82,2401,41.77,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,2, coastal ,2401,375,82,0,567,0.969758064516129,0.563671875,55.453125,373.875,95.453125,435.875,1,2,No,1,2,12266,375,82,2401,436,78,2717,61.13,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,3, tram ,2717,436,78,0,316.5,0.978125,0.588671875,55.453125,435.875,95.453125,475.875,1,3,No,1,3,12266,436,78,2717,477,79,3568,41.01,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,4, arrived ,3568,477,79,0,850.8999999761581,0.9520833333333333,0.538671875,55.453125,475.875,95.453125,535.875,1,4,No,1,4,12266,477,79,3568,536,77,3884,59.03,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,5, at ,3884,536,77,0,316.10000002384186,0.45625,0.438671875,55.453125,535.875,95.453125,555.875,1,5,No,1,5,12266,536,77,3884,435,68,4567,101.40,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,2, coastal ,4567,435,68,1,483.2000000476837,0.0020161290322580645,0.463671875,55.453125,373.875,95.453125,435.875,1,2,No,1,2,12266,435,68,4567,373,74,5151,62.29,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,1, The ,5151,373,74,1,584.0999999046326,0.9539312039312039,0.563671875,55.453125,333.175,95.453125,373.875,1,1,No,1,1,12266,373,74,5151,375,78,5908,4.47,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,2, coastal ,5908,375,78,0,756.6000000238419,0.9858870967741935,0.563671875,55.453125,373.875,95.453125,435.875,1,2,No,1,2,12266,375,78,5908,436,78,6367,61.00,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,3, tram ,6367,436,78,0,459.5,0.953125,0.663671875,55.453125,435.875,95.453125,475.875,1,3,No,1,3,12266,436,78,6367,476,83,7534,40.31,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,4, arrived ,7534,476,83,0,1167.3999999761581,0.9520833333333333,0.738671875,55.453125,475.875,95.453125,535.875,1,4,No,1,4,12266,476,83,7534,586,84,8167,110.00,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,7, station ,8167,586,84,0,567.0999999046326,0.9676724137931034,0.738671875,55.453125,585.875,95.453125,643.875,1,7,No,1,7,12266,586,84,8167,644,85,8785,58.01,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,8, two ,8785,644,85,0,617.5,0.9734848484848485,0.613671875,55.453125,643.875,95.453125,676.875,1,8,No,1,8,12266,644,85,8785,677,80,9684,33.38,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,9, minutes ,9684,677,80,0,898.8000000715256,0.957089552238806,0.688671875,55.453125,676.875,95.453125,743.875,1,9,No,1,9,12266,677,80,9684,795,80,9983,118.00,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
L2NUB793,69840dd69c47824aecc41fcf,2,int,,,900,1,11, Commuters ,9983,795,80,0,166.79999995231628,0.9908854166666666,0.513671875,55.453125,791.875,95.453125,887.875,1,11,No,1,11,12266,795,80,9983,889,76,10233,94.09,,,2026-07-02,2026-07-02,2026-07-02T20:53:53.667Z,16:53:53,2026-07-02 16:53:53,,,,,,,spotlight-prolific
