participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,3, tram ,2365,532,109,0,542.4000000003725,0.9929891901198221,0.445937548458567,101.16249465942383,531.2750225067139,141.16250228881836,572.2875308990479,1,3,No,1,3,12575,532,109,2365,573,120,2560,42.45,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,4, arrived ,2560,573,120,0,195.09999999962747,0.0118695417128887,0.6209375150799723,101.16249465942383,572.2875308990479,141.16250228881836,632.3125190734863,1,4,No,1,4,12575,573,120,2560,571,126,2944,6.32,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,3, tram ,2944,571,126,1,384.29999999981374,0.9929891901198221,0.7459374912381189,101.16249465942383,531.2750225067139,141.16250228881836,572.2875308990479,1,3,No,1,3,12575,571,126,2944,574,132,3231,6.71,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,4, arrived ,3231,574,132,0,286.80000000074506,0.9947935171169361,0.7959374817013776,101.16249465942383,572.2875308990479,141.16250228881836,632.3125190734863,1,4,No,1,4,12575,574,132,3231,655,128,3827,81.10,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,6, the ,3827,655,128,0,479.5,0.9213153574343478,0.6459375103116016,101.16249465942383,652.3375120162964,141.16250228881836,682.3625059127808,1,6,No,1,6,12575,655,128,3827,685,127,4021,30.02,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,7, station ,4021,685,127,0,194.09999999962747,0.9931077796472505,0.5709375246167135,101.16249465942383,682.3625059127808,141.16250228881836,740.4000072479248,1,7,No,1,7,12575,685,127,4021,741,124,4474,56.08,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,8, two ,4474,741,124,0,452.70000000018626,0.9572122715010974,0.4959375389218256,101.16249465942383,740.4000072479248,141.16250228881836,773.4125308990479,1,8,No,1,8,12575,741,124,4474,776,122,4808,35.06,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,9, minutes ,4808,776,122,0,334.70000000018626,0.9933856520438972,0.4959375389218256,101.16249465942383,773.4125308990479,141.16250228881836,841.450023651123,1,9,No,1,9,12575,776,122,4808,842,121,5169,66.01,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,10, early. ,5169,842,121,0,360.5,0.9761465272867611,0.4959375389218256,101.16249465942383,841.450023651123,141.16250228881836,889.1375122070312,1,10,No,1,10,12575,842,121,5169,890,121,5642,48.00,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,11, Commuters ,5642,890,121,0,473.20000000018626,0.9983420030043583,0.42093755322693766,101.16249465942383,889.1375122070312,141.16250228881836,987.162525177002,1,11,No,1,11,12575,890,121,5642,988,118,6037,98.05,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,12, stepped ,6037,988,118,0,394.8999999994412,0.9967419921714795,0.3209375723004203,101.16249465942383,987.162525177002,141.16250228881836,1056.2250061035156,1,12,No,1,12,12575,988,118,6037,1058,114,6359,70.11,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
B5KGPK42,69d2dbab29ed321c1b402b5e,2,int,,,900,1,13, into ,6359,1058,114,0,321.70000000018626,0.23829595351287589,0.445937548458567,101.16249465942383,1056.2250061035156,141.16250228881836,1088.8524753570557,1,13,No,1,13,12575,1058,114,6359,495,177,7771,566.51,Computer Trackpad,Right,2026-07-14,2026-07-14,2026-07-14T19:04:37.521Z,16:04:37,2026-07-14 16:04:37,2026-07-14,2026-07-14T19:34:25.408Z,16:34:25,2026-07-14 16:34:25,1787887,1787887,spotlight-prolific
