responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
785,raw_position_sample,2,1,ele,4,2,2,3,-1,999,416,104,1478650.6,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
834,hover_association,2,1,ele,4,2,2,3,1, For ,435,111,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,100.91250896453857,425.9774936676025,140.91250133514404,461.56249809265137,1,1,hover,33,33,0.7031755858033206,0.35218734306094035,121,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
838,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,467,118,1478703.9000000001,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
891,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1478756.5,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
940,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1478805.8,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
990,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1478855.1,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
1038,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1478903.4000000001,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
1093,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1478958.2000000002,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
1141,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1479006.2000000002,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
1190,raw_position_sample,2,1,ele,4,2,2,3,2, 14 ,474,118,1479055.9000000001,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,elementary,2,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,spotlight_PROLIFIC,,37,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:50|English:50,100,5,5,Bachelor's,10,10,10,9,10,10,12,20,13,18,Duolingo,140,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,108.51250457763672,461.5625,133.3125057220459,486.8374996185303,1,2,,,,,,,,,,,,2026-08-16T13:44:00.240Z,ZAATULJQ,2026-08-16,2026-08-16,10:44:00,2026-08-16 10:44:00,,,,,,,,697b49eb0907fde8d7f6b0ad,697b49eb0907fde8d7f6b0ad,,,,
