participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,1," “Remember,” ",30952,728,140,0,2241.0999999996275,0.9964446127467996,0.59921875,113.03125,617.1430288461538,153.03125,731.40625,1,1,Whether the park’s night sky is sufficiently dark,1,1,50338,728,140,30952,732,137,31526,5.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,2, Fildes ,31526,732,137,0,573.6000000005588,0.9920424403183024,0.57421875,113.03125,731.40625,153.03125,784.421875,1,2,Whether the park’s night sky is sufficiently dark,1,2,50338,732,137,31526,785,136,31743,53.01,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,3, tells ,31743,785,136,0,217.20000000018626,0.9881806669480794,0.59921875,113.03125,784.421875,153.03125,821.4375,1,3,Whether the park’s night sky is sufficiently dark,1,3,50338,785,136,31743,850,139,32041,65.07,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,5," team, ",32041,850,139,0,206.5,0.990318550905684,0.64921875,113.03125,849.453125,153.03125,899.484375,1,5,Whether the park’s night sky is sufficiently dark,1,5,50338,850,139,32041,901,139,32410,51.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,6, “it’s ,32410,901,139,0,369.09999999962747,0.9952175992348159,0.59921875,113.03125,899.484375,153.03125,932.15625,1,6,Whether the park’s night sky is sufficiently dark,1,6,50338,901,139,32410,934,137,32690,33.06,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,7, about ,32690,934,137,0,279.70000000018626,0.9959413050265377,0.59921875,113.03125,932.15625,153.03125,982.203125,1,7,Whether the park’s night sky is sufficiently dark,1,7,50338,934,137,32690,983,137,32980,49.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,8," interaction, ",32980,983,137,0,290.59999999962747,0.9756548018804567,0.62421875,113.03125,982.203125,153.03125,1075.265625,1,8,Whether the park’s night sky is sufficiently dark,1,8,50338,983,137,32980,1102,138,33283,119.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,10, about ,33283,1102,138,0,187.20000000018626,0.980018732438339,0.72421875,113.03125,1101.953125,153.03125,1152,1,10,Whether the park’s night sky is sufficiently dark,1,10,50338,1102,138,33283,1154,142,33598,52.15,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,11," entertainment, ",33598,1154,142,0,315.09999999962747,0.0335260814377531,0.67421875,113.03125,1152,153.03125,1271.3100961538462,1,11,Whether the park’s night sky is sufficiently dark,1,11,50338,1154,142,33598,648,180,34156,507.42,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,3,adv,6,2,17,18,12, it’s ,34156,648,180,1,321.70000000018626,0.9332944606413995,0.54921875,153.03125,617.1430288461538,193.03125,648.0625,2,1,Whether the park’s night sky is sufficiently dark,1,12,50338,648,180,34156,700,177,34701,52.09,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
