responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
28,raw_position_sample,2,1,ele,1,4,18,19,-1,999,561,132,2303410,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
84,raw_position_sample,2,1,ele,1,4,18,19,-1,999,563,227,2303466.399999991,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
135,raw_position_sample,2,1,ele,1,4,18,19,-1,999,594,290,2303516.599999994,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
185,raw_position_sample,2,1,ele,1,4,18,19,79, were ,639,321,2303567.200000003,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,323.265625,625.375,343.265625,669.390625,6,1,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
217,hover_association,2,1,ele,1,4,18,19,79, were ,623,315,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,313.265625,621.2578125,353.265625,669.390625,6,1,hover,50.20000000298023,50.20000000298023,0.8880051939620192,0.243359375,137,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
235,raw_position_sample,2,1,ele,1,4,18,19,80, also ,682,320,2303617.399999991,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,323.265625,669.390625,343.265625,707.421875,6,2,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
250,hover_association,2,1,ele,1,4,18,19,80, also ,675,323,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,313.265625,669.390625,353.265625,707.421875,6,2,hover,32.8999999910593,32.8999999910593,0.33155299917830733,0.168359375,137,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
281,raw_position_sample,2,1,ele,1,4,18,19,65, postcard ,696,291,2303663,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,283.265625,625.375,303.265625,699.421875,5,1,,,,,,,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
284,hover_association,2,1,ele,1,4,18,19,65, postcard ,691,306,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,273.265625,621.2578125,313.265625,699.421875,5,1,hover,33.6000000089407,33.6000000089407,0.9562218890554722,0.443359375,137,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
317,hover_association,2,1,ele,1,4,18,19,49, front ,701,272,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,elementary,4,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,spotlight_PROLIFIC,,36,Chile,Spanish,"English, Portuguese",Portuguese,Spanish:70|English:25|Portuguese:5,100,Spanish:55|English:45|Portuguese:0,100,Spanish:50|English:45|Portuguese:5,100,6,4,Master's,10,10,10,9,9,9,10,20,20,20,TOEFL,80,,,,,18,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,233.265625,680.4375,273.265625,721.46875,4,3,hover,33.19999998807907,33.19999998807907,0.5011424219345011,0.443359375,137,,,,,,2026-09-22T21:45:14.558Z,AX2V4LSV,2026-09-22,2026-09-22,18:45:14,2026-09-22 18:45:14,,,,,,,,699d31fa376ab366918a99ef,699d31fa376ab366918a99ef,,,,
