participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,52,2524952,560,121,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,104,2525004,553,122,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,157,2525057,553,122,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,205,2525105,583,133,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,252,2525152,605,143,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,-1,999,302,2525202,620,148,,,,,,,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,1, The ,351,2525251,627,148,123.265625,625.375,143.265625,661.40625,1,1,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,1, The ,402,2525302,642,144,123.265625,625.375,143.265625,661.40625,1,1,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,1, The ,450,2525350,657,141,123.265625,625.375,143.265625,661.40625,1,1,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,510,2525410,665,139,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,552,2525452,666,139,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,602,2525502,670,138,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,653,2525553,678,138,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,706,2525606,702,135,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,761,2525662,707,135,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,2, brown ,800,2525700,708,135,123.265625,661.40625,143.265625,715.4375,1,2,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
72HC2R5P,6984d0c88553454852991ed8,3,adv,1,3,18,19,3, beer ,856,2525756,726,133,123.265625,715.4375,143.265625,756.46875,1,3,"Yes, but without the bottle",1,,,2026-07-07,2026-07-07,2026-07-07T19:38:31.069Z,16:38:31,2026-07-07 16:38:31,,,,,,,spotlight-prolific
