participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,2, is ,900,483,129,0,266.59999999403954,0.09722231788398765,0.6959375007748603,101.16249465942383,479.24999809265137,141.16250228881836,497.25,1,2,Two new elements were added to the periodic table,1,2,33449,483,129,900,479,129,1934,4.00,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,1, Such ,1934,479,129,1,1033.7000000029802,0.9348357757156369,0.670937505543231,101.16249465942383,429.3760353724162,141.16250228881836,479.24999809265137,1,1,Two new elements were added to the periodic table,1,1,33449,479,129,1934,498,129,2283,19.00,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,3, the ,2283,498,129,0,299.79999999701977,0.8909238732521126,0.670937505543231,101.16249465942383,497.25,141.16250228881836,527.2750120162964,1,3,Two new elements were added to the periodic table,1,3,33449,498,129,2283,609,126,3183,111.04,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,7, modern-day ,3183,609,126,0,583.2999999970198,0.9862689784359484,0.595937519848343,101.16249465942383,601.3375120162964,141.16250228881836,702.3875198364258,1,7,Two new elements were added to the periodic table,1,7,33449,609,126,3183,707,125,3650,98.01,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,8, chemist: ,3650,707,125,0,466.90000000596046,0.96650433879742,0.42093755322693766,101.16249465942383,702.3875198364258,141.16250228881836,774.412525177002,1,8,Two new elements were added to the periodic table,1,8,33449,707,125,3650,776,118,4450,69.35,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,9, you ,4450,776,118,0,799.7999999970198,0.9871412446151376,0.39593755799530833,101.16249465942383,774.412525177002,141.16250228881836,808.4375190734863,1,9,Two new elements were added to the periodic table,1,9,33449,776,118,4450,913,144,5017,139.45,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,28, researchers ,5017,913,144,0,333.29999999701977,0.5945269085799798,0.0459374383986055,141.16250228881836,855.5250186920166,181.16250610351562,955.5625114440918,2,11,Two new elements were added to the periodic table,1,28,33449,913,144,5017,971,121,5450,62.39,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,15, element ,5450,971,121,0,266.5,0.9335621783162242,0.595937519848343,101.16249465942383,968.537525177002,141.16250228881836,1037.587532043457,1,15,Two new elements were added to the periodic table,1,15,33449,971,121,5450,1059,126,5683,88.14,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,17, turn ,5683,1059,126,0,166.79999999701977,0.011114378241517004,0.6209375150799723,101.16249465942383,1057.612536430359,141.16250228881836,1092.4740069707234,1,17,Two new elements were added to the periodic table,1,17,33449,1059,126,5683,464,191,6204,598.54,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,32, and ,6204,464,191,1,270.70000000298023,0.8134998959373517,0.09593734741210938,181.16250610351562,429.3760353724162,221.16250610351562,468.24999809265137,3,1,Two new elements were added to the periodic table,1,32,33449,464,191,6204,458,179,6667,13.42,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,18, up ,6667,458,179,1,462.59999999403954,0.8531777545134318,0.645937381178152,141.16250228881836,429.3760353724162,181.16250610351562,458.23750591278076,2,1,Two new elements were added to the periodic table,1,18,33449,458,179,6667,496,167,7317,39.85,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,20, then ,7317,496,167,0,533.2000000029802,0.9921948632129995,0.4959373954832654,141.16250228881836,493.2750072479248,181.16250610351562,533.3124980926514,2,3,Two new elements were added to the periodic table,1,20,33449,496,167,7317,536,161,7484,40.45,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,21, four ,7484,536,161,0,166.90000000596046,0.9351141705858849,0.5209373930990798,141.16250228881836,533.3124980926514,181.16250610351562,569.3375129699707,2,4,Two new elements were added to the periodic table,1,21,33449,536,161,7484,571,162,7783,35.01,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,22, come ,7783,571,162,0,299.69999998807907,0.9518101548070872,0.4709373978674509,141.16250228881836,569.3375129699707,181.16250610351562,618.3625068664551,2,5,Two new elements were added to the periodic table,1,22,33449,571,162,7783,619,160,7967,48.04,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,8,1,1,2,23, along ,7967,619,160,0,183.30000001192093,0.19648302057420405,0.19593742409349213,141.16250228881836,618.3625068664551,181.16250610351562,667.4125118255615,2,6,Two new elements were added to the periodic table,1,23,33449,619,160,7967,618,146,8285,14.04,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
