participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,-1,999,78,1139293,574,93,,,,,,,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,129,1139344,684,126,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,183,1139398,690,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,235,1139450,690,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,284,1139498,690,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,332,1139546,690,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,381,1139595,690,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,6, sell ,433,1139647,684,130,110.9124984741211,676.375,130.9124984741211,708.3875007629395,1,6,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,17, particularly ,480,1139694,662,141,150.91250610351562,580.9750366210938,170.91250610351562,673.0125350952148,2,3,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,5,5,6,17, particularly ,533,1139747,643,142,150.91250610351562,580.9750366210938,170.91250610351562,673.0125350952148,2,3,The head of a company,1,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
