participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,136,734481,311,71,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,186,734531,313,70,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,236,734582,320,66,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,286,734631,343,56,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,337,734683,365,48,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,387,734733,384,47,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,437,734783,397,49,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,488,734833,402,51,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,-1,999,537,734883,405,52,,,,,,,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
CKJE4LFT,6983afef25da29dde674c470,3,adv,24,4,4,5,1, Created ,590,734935,393,65,67.64999389648438,348.3666687011719,85.64999389648438,415.6333312988281,1,1,There are many additional costs in getting products to the island due to middlemen,1,,,2026-07-06,2026-07-06,2026-07-06T22:09:28.094Z,19:09:28,2026-07-06 19:09:28,,,,,,,spotlight-prolific
