participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
8DKKDZ4B,EmTest1,2,int,,,900,1,1, The ,1389,414,136,0,334,0.8120423709630479,0.34833335876464844,100.06666564941406,404.8133544921875,140.06666564941406,444.45001220703125,1,1,No,1,1,2133,414,136,1389,551,107,1872,140.04,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,,,900,1,4, arrived ,1872,551,107,0,349,0.8406884471392182,0.14833335876464843,100.06666564941406,547.5166625976562,140.06666564941406,607.5666580200195,1,4,No,1,4,2133,551,107,1872,969,121,2606,418.23,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,,,900,1,12, stepped ,2606,969,121,0,251,0.18118203118580814,0.2733333587646484,100.06666564941406,962.4833450317383,140.06666564941406,1031.5666580200195,1,12,No,1,12,2133,969,121,2606,435,170,3189,536.24,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,,,900,1,14, the ,3189,435,170,1,332,0.9850162376591758,0.6483333587646485,140.06666564941406,408.41668701171875,180.06666564941406,438.45001220703125,2,1,No,1,14,2133,435,170,3189,608,169,3522,173.00,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,,,900,1,19, raised. ,3522,608,169,0,200,0.8921140312129388,0.8483333587646484,140.06666564941406,602.566650390625,180.06666564941406,660.2199859619141,2,6,No,1,19,2133,608,169,3522,,,,,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,28,1,1,2,1, Swedish ,1239,414,101,0,234,0.8512913426456945,0.47333335876464844,100.06666564941406,404.35835435655383,140.06666564941406,481.4666748046875,1,1,A new law that he passed,0,1,5953,414,101,1239,939,126,1972,525.59,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,28,1,1,2,12, being ,1972,939,126,0,232,0.0010187731340568303,0.8233333587646484,100.06666564941406,927.9500122070312,140.06666564941406,977.0166702270508,1,12,A new law that he passed,0,12,5953,939,126,1972,506,167,2839,434.94,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,28,1,1,2,17, country’s ,2839,506,167,1,333,0.6321963528871932,0.6483333587646485,140.06666564941406,501.50000762939453,180.06666564941406,578.216667175293,2,4,A new law that he passed,0,17,5953,506,167,2839,941,142,3423,435.72,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,28,1,1,2,26, prison ,3423,941,142,0,250,0.21769960396310734,0.42333335876464845,140.06666564941406,938.2333374023438,180.06666564941406,992.283332824707,2,13,A new law that he passed,0,26,5953,941,142,3423,485,192,3823,458.73,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
8DKKDZ4B,EmTest1,2,int,28,1,1,2,28, probation ,3823,485,192,1,267,0.5565957844014567,0.6233333587646485,180.06666564941406,408.41668701171875,220.06666564941406,488.5166702270508,3,1,A new law that he passed,0,28,5953,485,192,3823,651,212,4265,167.20,,,,,1970-01-01T00:00:00.569Z,,,,,,,,,spotlight-prolific
