responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
119,raw_position_sample,2,2,int,30,1,6,7,-1,999,685,125,1719829.9000000954,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
171,raw_position_sample,2,2,int,30,1,6,7,-1,999,685,177,1719881.7000000477,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
220,raw_position_sample,2,2,int,30,1,6,7,-1,999,703,211,1719930.5999999046,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
271,raw_position_sample,2,2,int,30,1,6,7,31, progress ,751,221,1719981.7000000477,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,209.7569580078125,732.1181030273438,229.7569580078125,807.1181030273438,3,1,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
317,hover_association,2,2,int,30,1,6,7,31, progress ,736,222,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,199.7569580078125,729.2867949803671,239.7569580078125,807.1181030273438,3,1,hover,66.69999980926514,66.69999980926514,0.6644267752563064,0.0810760498046875,142,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
321,raw_position_sample,2,2,int,30,1,6,7,17, answer ,798,188,1720031.4000000954,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,169.7569580078125,762.1354370117188,189.7569580078125,825.1389122009277,2,2,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
350,hover_association,2,2,int,30,1,6,7,17, answer ,798,188,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,159.7569580078125,762.1354513168335,199.7569580078125,825.1389141082764,2,2,hover,33.10000014305115,33.10000014305115,0.8390737007291378,0.4310760498046875,142,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
369,raw_position_sample,2,2,int,30,1,6,7,18, is ,836,167,1720080.0999999046,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,169.7569580078125,825.138916015625,189.7569580078125,843.1423892974854,2,3,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
420,raw_position_sample,2,2,int,30,1,6,7,18, is ,838,171,1720131,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,169.7569580078125,825.138916015625,189.7569580078125,843.1423892974854,2,3,,,,,,,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
466,hover_association,2,2,int,30,1,6,7,18, is ,828,171,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,intermediate,1,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,spotlight_PROLIFIC,,32,Brazil,Portuguese,"English, Spanish,French, German",Spanish|French|German,Portuguese:80|English:10|Spanish:10|French:0|German:0,100,Portuguese:90|English:5|Spanish:5|French:0|German:0,100,Portuguese:95|English:5|Spanish:0|French:0|German:0,100,18,0,Master's,10,10,10,8,9,9,12,20,13,20,CEFR,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,159.7569580078125,825.1389141082764,199.7569580078125,843.1423921585083,2,3,hover,116.59999990463257,116.59999990463257,0.43664262370805407,0.2810760498046875,142,,,,,,2026-07-06T21:59:18.094Z,RRLAZQF5,2026-07-06,2026-07-06,18:59:18,2026-07-06 18:59:18,,,,,,,,698341d57fe7b870bddf91b8,698341d57fe7b870bddf91b8,,,,
