responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
59,raw_position_sample,2,3,adv,28,1,1,2,-1,999,258,41,1090022.300000012,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
117,raw_position_sample,2,3,adv,28,1,1,2,-1,999,257,41,1090080,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
166,raw_position_sample,2,3,adv,28,1,1,2,-1,999,257,41,1090128.8999999762,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
217,raw_position_sample,2,3,adv,28,1,1,2,-1,999,257,41,1090180.5,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
266,raw_position_sample,2,3,adv,28,1,1,2,-1,999,257,41,1090228.800000012,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
310,raw_position_sample,2,3,adv,28,1,1,2,-1,999,257,41,1090272.800000012,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
364,raw_position_sample,2,3,adv,28,1,1,2,-1,999,268,40,1090326.800000012,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
413,raw_position_sample,2,3,adv,28,1,1,2,-1,999,277,46,1090376.0999999642,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
458,raw_position_sample,2,3,adv,28,1,1,2,-1,999,281,48,1090421.699999988,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
509,raw_position_sample,2,3,adv,28,1,1,2,-1,999,286,57,1090472,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
559,raw_position_sample,2,3,adv,28,1,1,2,-1,999,307,76,1090522.300000012,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,advanced,1,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,spotlight_PROLIFIC,,33,Brazil,Portuguese,English,,Portuguese:60|English:40,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,17,0,Bachelor's,10,10,10,8,9,9,10,12,12,14,Proficient User,N/A,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:49:19.033Z,KZMDQEWU,2026-08-09,2026-08-09,11:49:19,2026-08-09 11:49:19,,,,,,,,697b408049fa3895dc77d74d,697b408049fa3895dc77d74d,,,,
