participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,2, Carle ,939,549,141,0,194.90000000596046,0.057001441919203755,0.4959375389218256,101.16249465942383,513.2625045776367,141.16250228881836,561.287525177002,1,2,Trying to convince French people to buy French products,0,2,33956,549,141,939,511,120,1737,43.42,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,1, Benjamin ,1737,511,120,1,798.7999999970198,0.9968768978459672,0.34593756753204963,101.16249465942383,429.20999374389646,141.16250228881836,513.2625045776367,1,1,Trying to convince French people to buy French products,0,1,33956,511,120,1737,514,115,2080,5.83,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,2, Carle ,2080,514,115,0,342.29999999701977,0.9940130129375571,0.09593761521575637,101.16249465942383,513.2625045776367,141.16250228881836,561.287525177002,1,2,Trying to convince French people to buy French products,0,2,33956,514,115,2080,580,111,2507,66.12,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,4, 96.9% ,2507,580,111,0,347.1000000089407,0.9582956216492295,0.42093755322693766,101.16249465942383,579.2875366210938,141.16250228881836,635.3375301361084,1,4,Trying to convince French people to buy French products,0,4,33956,580,111,2507,706,118,3174,126.19,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,7," France, ",3174,706,118,0,506.90000000596046,0.9483146654918769,0.3209375723004203,101.16249465942383,704.3875064849854,141.16250228881836,770.412525177002,1,7,Trying to convince French people to buy French products,0,7,33956,706,118,3174,845,119,3993,139.00,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,10, underpants ,3993,845,119,0,749.7000000029802,0.9943462242798112,0.37093756276367895,101.16249465942383,842.4625186920166,141.16250228881836,937.5375328063965,1,10,Trying to convince French people to buy French products,0,10,33956,845,119,3993,942,116,4250,97.05,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,11, and ,4250,942,116,0,257,0.9835882789176568,0.34593756753204963,101.16249465942383,937.5375328063965,141.16250228881836,972.5750255584717,1,11,Trying to convince French people to buy French products,0,11,33956,942,116,4250,974,115,4646,32.02,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,12, socks. ,4646,974,115,0,395.70000000298023,0.06113300009781018,0.34593756753204963,101.16249465942383,972.5750255584717,141.16250228881836,1028.5999946594238,1,12,Trying to convince French people to buy French products,0,12,33956,974,115,4646,936,117,4951,38.05,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,10, underpants ,4951,936,117,1,257,0.0372072656621185,0.5459375293850842,101.16249465942383,842.4625186920166,141.16250228881836,937.5375328063965,1,10,Trying to convince French people to buy French products,0,10,33956,936,117,4951,430,130,5944,506.17,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,1, Benjamin ,5944,430,130,1,541.6000000089407,0.2592427762117086,0.9959374435544122,101.16249465942383,429.20999374389646,141.16250228881836,513.2625045776367,1,1,Trying to convince French people to buy French products,0,1,33956,430,130,5944,451,142,6563,24.19,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,15," forks, ",6563,451,142,0,618.0999999940395,0.9957559114722384,0.245937419325121,141.16250228881836,429.20999374389646,181.16250610351562,482.2250003814697,2,1,Trying to convince French people to buy French products,0,15,33956,451,142,6563,500,151,6868,49.82,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,17, Chinese ,6868,500,151,0,257.1000000089407,0.9959531467503421,0.2709374169409354,141.16250228881836,497.2375121116638,181.16250610351562,568.2875289916992,2,3,Trying to convince French people to buy French products,0,17,33956,500,151,6868,655,149,7319,155.01,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,20, some ,7319,655,149,0,180.59999999403954,0.9716980974250735,0.14593742886186326,141.16250228881836,653.3625011444092,181.16250610351562,702.3875007629395,2,6,Trying to convince French people to buy French products,0,20,33956,655,149,7319,704,146,7500,49.09,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,21, wall ,7500,704,146,0,180.70000000298023,0.9888922320620737,0.1209374312460488,141.16250228881836,702.3875007629395,181.16250610351562,738.4000186920166,2,7,Trying to convince French people to buy French products,0,21,33956,704,146,7500,783,148,7993,79.03,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,23, stopped ,7993,783,148,0,368.20000000298023,0.992760179595844,0.22093742170930655,141.16250228881836,782.4375133514404,181.16250610351562,851.5,2,9,Trying to convince French people to buy French products,0,23,33956,783,148,7993,987,157,8658,204.20,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
2J2FLLPJ,6983cd861089287a5e6258c6,1,ele,16,1,15,16,27, 100% ,8658,987,157,0,275.70000000298023,0.9872667972555706,0.420937402635822,141.16250228881836,986.600019454956,181.16250610351562,1037.6500301361084,2,13,Trying to convince French people to buy French products,0,27,33956,987,157,8658,1058,113,9326,83.53,,,2026-07-02,2026-07-02,2026-07-02T20:53:54.330Z,16:53:54,2026-07-02 16:53:54,,,,,,,spotlight-prolific
