participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,59,1326488,330,107,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,110,1326539,330,107,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,161,1326589,327,107,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,212,1326640,320,107,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,262,1326690,323,107,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,-1,999,313,1326741,351,119,,,,,,,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,15, sushi ,364,1326792,421,155,147.875,385.375,168.875,432.396484375,2,1,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,16, or ,415,1326843,445,162,147.875,432.396484375,168.875,453.40234375,2,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,16, or ,466,1326895,451,162,147.875,432.396484375,168.875,453.40234375,2,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,16, or ,517,1326945,452,157,147.875,432.396484375,168.875,453.40234375,2,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,17, pizza. ,568,1326996,455,151,147.875,453.40234375,168.875,505.4248046875,2,3,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,17, pizza. ,618,1327046,462,140,147.875,453.40234375,168.875,505.4248046875,2,3,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,2, out ,669,1327097,466,128,107.875,438.408203125,128.875,468.431640625,1,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,2, out ,719,1327147,466,121,107.875,438.408203125,128.875,468.431640625,1,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,2, out ,770,1327198,466,120,107.875,438.408203125,128.875,468.431640625,1,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,2, out ,820,1327249,467,120,107.875,438.408203125,128.875,468.431640625,1,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,2, out ,871,1327299,468,120,107.875,438.408203125,128.875,468.431640625,1,2,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,3, with ,921,1327349,470,118,107.875,468.431640625,128.875,505.4423828125,1,3,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,3, with ,971,1327399,471,117,107.875,468.431640625,128.875,505.4423828125,1,3,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,3, with ,1022,1327450,490,117,107.875,468.431640625,128.875,505.4423828125,1,3,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1072,1327500,532,118,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1122,1327550,550,123,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1173,1327601,557,125,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1223,1327651,559,126,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1274,1327702,562,123,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,4, friends ,1324,1327752,564,123,107.875,505.4423828125,128.875,564.4697265625,1,4,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,5, was ,1375,1327803,572,124,107.875,564.4697265625,128.875,601.48046875,1,5,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1426,1327854,605,129,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1477,1327905,636,129,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1528,1327956,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1579,1328007,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1629,1328057,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1680,1328109,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1732,1328160,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1783,1328211,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1834,1328262,645,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1884,1328312,646,132,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,6, problematic ,1933,1328362,667,131,107.875,601.48046875,128.875,699.5224609375,1,6,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,7, – ,1984,1328412,703,117,107.875,699.5224609375,128.875,714.5341796875,1,7,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,8, no ,2034,1328463,726,108,107.875,714.5341796875,128.875,739.556640625,1,8,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
TR358LDK,6a0cc32eb0a75621a7201908,3,adv,16,4,18,19,9, American ,2085,1328513,740,104,107.875,739.556640625,128.875,820.5830078125,1,9,Peugeots are not manufactured in France,0,,,2026-07-02,2026-07-02,2026-07-02T16:28:01.690Z,10:28:01,2026-07-02 10:28:01,,,,,,,spotlight-prolific
