participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,2, the ,1720,545,139,0,421,0.9863062711423367,0.86328125,106.46875,540.3876953125,146.46875,570.4111328125,1,2,The worth of real estate owned abroad,0,2,43677,545,139,1720,606,145,2083,61.29,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,4, over ,2083,606,145,0,267,0.5643165678307344,0.96328125,106.46875,605.41796875,146.46875,645.4345703125,1,4,The worth of real estate owned abroad,0,4,43677,606,145,2083,711,143,2565,105.02,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,7, 30 ,2565,711,143,0,382.00000000046566,0.980330172110994,0.96328125,106.46875,708.4697265625,146.46875,733.4921875,1,7,The worth of real estate owned abroad,0,7,43677,711,143,2565,748,147,2970,37.22,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,23, households ,2970,748,147,0,404.99999999953434,0.9838338111765002,0.06328125,146.46875,716.494140625,186.46875,813.5693359375,2,6,The worth of real estate owned abroad,0,23,43677,748,147,2970,865,145,3632,117.02,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,10, number ,3632,865,145,0,483.00000000046566,0.022213348714080778,0.71328125,106.46875,817.533203125,146.46875,883.5654296875,1,10,The worth of real estate owned abroad,0,10,43677,865,145,3632,814,136,3817,51.79,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,9, the ,3817,814,136,1,183.99999999953434,0.7490892531876139,0.81328125,106.46875,787.509765625,146.46875,817.533203125,1,9,The worth of real estate owned abroad,0,9,43677,814,136,3817,946,139,4582,132.03,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,13, wealthy ,4582,946,139,0,633,0.8695150627800701,0.86328125,106.46875,942.583984375,146.46875,1008.6162109375,1,13,The worth of real estate owned abroad,0,13,43677,946,139,4582,1015,142,5004,69.07,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,14, people ,5004,1015,142,0,423,0.9886557192703941,0.93828125,106.46875,1008.6162109375,146.46875,1067.669921875,1,14,The worth of real estate owned abroad,0,14,43677,1015,142,5004,1103,144,5449,88.02,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,16, grown. ,5449,1103,144,0,367,0.05603533849513599,0.83828125,106.46875,1101.6923828125,146.46875,1160.7197265625,1,16,The worth of real estate owned abroad,0,16,43677,1103,144,5449,776,111,5933,328.66,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,8," years, ",5933,776,111,1,384,0.009400875004519652,0.11328125,106.46875,733.4921875,146.46875,787.509765625,1,8,The worth of real estate owned abroad,0,8,43677,776,111,5933,570,124,6349,206.41,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,2, the ,6349,570,124,1,335,0.05370153525891231,0.58828125,106.46875,540.3876953125,146.46875,570.4111328125,1,2,The worth of real estate owned abroad,0,2,43677,570,124,6349,520,171,7616,68.62,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,18," 2014, ",7616,520,171,1,934,0.9729778075133404,0.68828125,146.46875,517.8734130859375,186.46875,570.419921875,2,1,The worth of real estate owned abroad,0,18,43677,520,171,7616,571,174,8682,51.09,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,19, the ,8682,571,174,0,1066,0.7853890189955763,0.73828125,146.46875,570.419921875,186.46875,600.443359375,2,2,The worth of real estate owned abroad,0,19,43677,571,174,8682,606,179,9149,35.36,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
CKKDS7RY,6a02845a2eb062311739bed9,1,ele,27,5,19,20,20, number ,9149,606,179,0,467,0.8110682224884275,0.86328125,146.46875,600.443359375,186.46875,666.4755859375,2,3,The worth of real estate owned abroad,0,20,43677,606,179,9149,727,182,10232,121.04,,,2026-07-02,2026-07-02,2026-07-02T20:56:21.111Z,14:56:21,2026-07-02 14:56:21,,,,,,,spotlight-prolific
