participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,41,956858,354,101,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,93,956910,354,101,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,141,956958,354,101,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,196,957013,354,101,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,242,957059,354,101,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,-1,999,296,957114,410,114,,,,,,,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,2, really ,344,957161,480,131,111.1624984741211,466.88751220703125,131.1624984741211,514.9125137329102,1,2,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,2, really ,391,957208,498,126,111.1624984741211,466.88751220703125,131.1624984741211,514.9125137329102,1,2,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,2, really ,448,957265,496,121,111.1624984741211,466.88751220703125,131.1624984741211,514.9125137329102,1,2,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
4JB5SGY3,698251670805ae890a3ad637,2,int,27,4,4,5,2, really ,495,957312,483,114,111.1624984741211,466.88751220703125,131.1624984741211,514.9125137329102,1,2,Something that people wouldn’t say,1,,,2026-07-02,2026-07-02,2026-07-02T18:49:08.667Z,14:49:08,2026-07-02 14:49:08,,,,,,,spotlight-prolific
