participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,1, Dhakal ,1051,622,129,0,333.5,0.9937351284599861,0.568359375,113.265625,621.560546875,153.265625,686.40625,1,1,Hand tiger heads on walls,0,1,33085,622,129,1051,690,137,1485,68.47,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,2, said ,1485,690,137,0,433.2000000476837,0.0419063270336894,0.543359375,113.265625,686.40625,153.265625,724.4375,1,2,Hand tiger heads on walls,0,2,33085,690,137,1485,685,135,1834,5.39,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,1, Dhakal ,1834,685,135,1,349.90000009536743,0.053040571067136534,0.493359375,113.265625,621.560546875,153.265625,686.40625,1,1,Hand tiger heads on walls,0,1,33085,685,135,1834,623,129,2834,62.29,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,1, Dhakal ,2834,623,129,1,583.3000001907349,0.037619348814794736,0.568359375,113.265625,621.560546875,153.265625,686.40625,1,1,Hand tiger heads on walls,0,1,33085,623,129,2834,763,134,4102,140.09,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,4, there ,4102,763,134,0,550.4000000953674,0.9891378139850645,0.418359375,113.265625,759.46875,153.265625,805.5,1,4,Hand tiger heads on walls,0,4,33085,763,134,4102,859,122,5451,96.75,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,7, similar ,5451,859,122,0,1099.8999998569489,0.9555921052631579,0.243359375,113.265625,857.53125,153.265625,914.53125,1,7,Hand tiger heads on walls,0,7,33085,859,122,5451,915,124,5651,56.04,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,8, survey ,5651,915,124,0,200,0.9903069466882067,0.493359375,113.265625,914.53125,153.265625,972.5625,1,8,Hand tiger heads on walls,0,8,33085,915,124,5651,701,159,6985,216.84,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,16, countries ,6985,701,159,1,200.29999995231628,0.08488488488488488,0.743359375,153.265625,625.375,193.265625,703.421875,2,1,Hand tiger heads on walls,0,16,33085,701,159,6985,629,188,7568,77.62,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,16, countries ,7568,629,188,1,300.19999980926514,0.9817817817817818,0.593359375,153.265625,625.375,193.265625,703.421875,2,1,Hand tiger heads on walls,0,16,33085,629,188,7568,760,169,7934,132.37,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
GZL7752Q,691632296e8400d64e980a4c,1,ele,18,5,18,19,19, published ,7934,760,169,0,249.39999985694885,0.944793451361127,0.118359375,153.265625,758.453125,193.265625,840.53125,2,4,Hand tiger heads on walls,0,19,33085,760,169,7934,841,157,8101,81.88,,,2026-06-27,2026-06-27,2026-06-27T14:09:37.835Z,08:09:37,2026-06-27 08:09:37,,,,,,,spotlight-prolific
