responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
552,raw_position_sample,2,1,ele,27,2,7,8,-1,999,305,44,3206275.700000003,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
604,raw_position_sample,2,1,ele,27,2,7,8,-1,999,329,57,3206328.099999994,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
655,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,343,63,3206378.700000003,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
704,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,355,69,3206428.200000003,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
755,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,359,71,3206479.099999994,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
800,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,361,72,3206523.799999997,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
846,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,363,74,3206569.5,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
897,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,365,75,3206620.700000003,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
949,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,366,76,3206672.799999997,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
999,raw_position_sample,2,1,ele,27,2,7,8,1, “Many ,366,77,3206722.700000003,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,elementary,2,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,spotlight_PROLIFIC,,34,Brasil,Português,Espanhol,Espanhol,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,Português:85|English:5|Espanhol:10,100,19,6,Bachelor's,10,10,10,2,5,3,26,0,26,0,Duolingo,15,,,,,12,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,64.203125,340.875,88.203125,398.75,1,1,,,,,,,,,,,,2026-08-16T08:25:55.147Z,9P8XQ48L,2026-08-16,2026-08-16,05:25:55,2026-08-16 05:25:55,,,,,,,,69e8ef77ab4f8e4e489b2d2f,69e8ef77ab4f8e4e489b2d2f,,,,
