participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,1, The ,4942,383,110,0,446,0.8889918032913103,0.38375015258789064,96.64999389648438,344.7633361816406,136.64999389648438,384.3999938964844,1,1,They show how humans developed better immune systems to deal with infections from farm animals,0,1,131555,383,110,4942,394,117,5394,13.04,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,2, invention ,5394,394,117,0,451,0.9288648214652632,0.7837501525878906,96.64999389648438,384.3999938964844,136.64999389648438,461.48333740234375,1,2,They show how humans developed better immune systems to deal with infections from farm animals,0,2,131555,394,117,5394,499,138,5741,107.08,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,16, evolved ,5741,499,138,0,295,0.2755964352669227,0.008750152587890626,136.64999389648438,491.5166702270508,176.64999389648438,558.5833206176758,2,3,They show how humans developed better immune systems to deal with infections from farm animals,0,16,131555,499,138,5741,547,104,6331,58.82,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,5, brought ,6331,547,104,0,453,0.975284102191817,0.20875015258789062,96.64999389648438,546.5499954223633,136.64999389648438,612.6333084106445,1,5,They show how humans developed better immune systems to deal with infections from farm animals,0,5,131555,547,104,6331,618,105,6496,71.01,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,6, humans ,6496,618,105,0,165,0.9753862601113391,0.5087501525878906,96.64999389648438,612.6333084106445,136.64999389648438,681.6999893188477,1,6,They show how humans developed better immune systems to deal with infections from farm animals,0,6,131555,618,105,6496,718,120,6914,101.12,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,8, animals ,6914,718,120,0,301,0.9284116883483365,0.5837501525878906,96.64999389648438,716.7500076293945,136.64999389648438,783.7999954223633,1,8,They show how humans developed better immune systems to deal with infections from farm animals,0,8,131555,718,120,6914,869,114,7366,151.12,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,11, closer ,7366,869,114,0,217,0.8887487849197554,0.008750152587890626,96.64999389648438,866.8666763305664,136.64999389648438,919.9000244140625,1,11,They show how humans developed better immune systems to deal with infections from farm animals,0,11,131555,869,114,7366,921,97,7565,54.71,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,12, contact ,7565,921,97,0,200,0.9690718480887609,0.15875015258789063,96.64999389648438,919.9000244140625,136.64999389648438,982.9500198364258,1,12,They show how humans developed better immune systems to deal with infections from farm animals,0,12,131555,921,97,7565,984,103,7826,63.29,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,13, and ,7826,984,103,0,262,0.150058864083025,0.20875015258789062,96.64999389648438,982.9500198364258,136.64999389648438,1016.6033477783203,1,13,They show how humans developed better immune systems to deal with infections from farm animals,0,13,131555,984,103,7826,605,107,8184,379.02,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,5, brought ,8184,605,107,1,251,0.11273654786281448,0.4837501525878906,96.64999389648438,546.5499954223633,136.64999389648438,612.6333084106445,1,5,They show how humans developed better immune systems to deal with infections from farm animals,0,5,131555,605,107,8184,371,142,9159,236.60,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,14, humans ,9159,371,142,1,795,0.9940368522718576,0.3087501525878906,136.64999389648438,344.7633361816406,176.64999389648438,417.43334197998047,2,1,They show how humans developed better immune systems to deal with infections from farm animals,0,14,131555,371,142,9159,498,139,9588,127.04,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,16, evolved ,9588,498,139,0,317,0.5588967028266686,0.8587501525878907,136.64999389648438,491.5166702270508,176.64999389648438,558.5833206176758,2,3,They show how humans developed better immune systems to deal with infections from farm animals,0,16,131555,498,139,9588,534,177,9931,52.35,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,28, may ,9931,534,177,0,343,0.39812021643361656,0.008750152587890626,176.64999389648438,531.4666748046875,216.64999389648438,570.4833450317383,3,4,They show how humans developed better immune systems to deal with infections from farm animals,0,28,131555,534,177,9931,559,163,10323,28.65,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,17, stronger ,10323,559,163,0,351,0.9345684719413685,0.3087501525878906,136.64999389648438,558.5833206176758,176.64999389648438,629.6500015258789,2,4,They show how humans developed better immune systems to deal with infections from farm animals,0,17,131555,559,163,10323,631,148,10758,73.55,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,18, immune ,10758,631,148,0,435,0.9753798785573078,0.4337501525878906,136.64999389648438,629.6500015258789,176.64999389648438,698.7000198364258,2,5,They show how humans developed better immune systems to deal with infections from farm animals,0,18,131555,631,148,10758,701,156,11226,70.46,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,19, systems ,11226,701,156,0,468,0.9195023363569805,0.3087501525878906,136.64999389648438,698.7000198364258,176.64999389648438,769.7166748046875,2,6,They show how humans developed better immune systems to deal with infections from farm animals,0,19,131555,701,156,11226,793,149,11426,92.27,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,21, fight ,11426,793,149,0,168,0.8522630676237619,0.20875015258789062,136.64999389648438,789.7333450317383,176.64999389648438,828.7666625976562,2,8,They show how humans developed better immune systems to deal with infections from farm animals,0,21,131555,793,149,11426,830,147,11765,37.05,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,22, infections ,11765,830,147,0,339,0.9403784399687207,0.3087501525878906,136.64999389648438,828.7666625976562,176.64999389648438,909.8333206176758,2,9,They show how humans developed better immune systems to deal with infections from farm animals,0,22,131555,830,147,11765,575,138,12339,255.16,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,17, stronger ,12339,575,138,1,210,0.11843355106447209,0.033750152587890624,136.64999389648438,558.5833206176758,176.64999389648438,629.6500015258789,2,4,They show how humans developed better immune systems to deal with infections from farm animals,0,17,131555,575,138,12339,418,187,13304,164.47,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,25, animals. ,13304,418,187,1,808,0.8887467621887176,0.5087501525878906,176.64999389648438,344.7633361816406,216.64999389648438,420.4166793823242,3,1,They show how humans developed better immune systems to deal with infections from farm animals,0,25,131555,418,187,13304,421,195,13598,8.54,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,26, But ,13598,421,195,0,295,0.9239974178414384,0.3587501525878906,176.64999389648438,420.4166793823242,216.64999389648438,452.433349609375,3,2,They show how humans developed better immune systems to deal with infections from farm animals,0,26,131555,421,195,13598,461,191,13966,40.20,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,27, scientists ,13966,461,191,0,367,0.9940952148535542,0.4087501525878906,176.64999389648438,452.433349609375,216.64999389648438,531.4666748046875,3,3,They show how humans developed better immune systems to deal with infections from farm animals,0,27,131555,461,191,13966,573,191,14351,112.00,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,29, have ,14351,573,191,0,284,0.9197881088795439,0.3587501525878906,176.64999389648438,570.4833450317383,216.64999389648438,614.533332824707,3,5,They show how humans developed better immune systems to deal with infections from farm animals,0,29,131555,573,191,14351,620,192,14835,47.01,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
98FT884M,6984ea6bcebea0dac711b77c,2,int,23,2,2,3,30, overestimated ,14835,620,192,0,485,0.9946375229334091,0.18375015258789062,176.64999389648438,614.533332824707,216.64999389648438,732.6333084106445,3,6,They show how humans developed better immune systems to deal with infections from farm animals,0,30,131555,620,192,14835,739,184,15086,119.27,,,2026-07-02,2026-07-02,2026-07-02T18:53:38.640Z,11:53:38,2026-07-02 11:53:38,,,,,,,spotlight-prolific
