participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,1," “Overall, ",974,519,117,0,200,0.9686822542077987,0.38203125,106.71875,517.0561079545455,146.71875,593.390625,1,1,They were inspired by game consoles,0,1,36261,519,117,974,622,126,1592,103.39,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,3, correctly ,1592,622,126,0,583.7999999523163,0.9394393323346887,0.58203125,106.71875,621.40625,146.71875,694.421875,1,3,They were inspired by game consoles,0,3,36261,622,126,1592,697,130,2002,75.11,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,4, guessed ,2002,697,130,0,410.60000002384186,0.048978718853598543,0.60703125,106.71875,694.421875,146.71875,767.4765625,1,4,They were inspired by game consoles,0,4,36261,697,130,2002,683,130,2502,14.00,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,3, correctly ,2502,683,130,1,499.8000000715256,0.9805264284185747,0.75703125,106.71875,621.40625,146.71875,694.421875,1,3,They were inspired by game consoles,0,3,36261,683,130,2502,697,137,2869,15.65,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,4, guessed ,2869,697,137,0,367.2999999523163,0.9660998823655224,0.63203125,106.71875,694.421875,146.71875,767.4765625,1,4,They were inspired by game consoles,0,4,36261,697,137,2869,770,132,3452,73.17,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,5, whether ,3452,770,132,0,582.5,0.9925314020595225,0.55703125,106.71875,767.4765625,146.71875,836.515625,1,5,They were inspired by game consoles,0,5,36261,770,132,3452,896,137,4324,126.10,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,7, (truths: ,4324,896,137,0,755.4000000953674,0.9578745198463509,0.70703125,106.71875,892.5546875,146.71875,953.5703125,1,7,They were inspired by game consoles,0,7,36261,896,137,4324,954,135,4624,58.03,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,8, 88.9%; ,4624,954,135,0,300,0.8588431021243921,0.58203125,106.71875,953.5703125,146.71875,1014.6171875,1,8,They were inspired by game consoles,0,8,36261,954,135,4624,1052,126,5069,98.41,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,10, 75.6%) ,5069,1052,126,0,361.2999999523163,0.9408134995592494,0.45703125,106.71875,1051.6328125,146.71875,1113.671875,1,10,They were inspired by game consoles,0,10,36261,1052,126,5069,1134,135,5342,82.49,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,12, the ,5342,1134,135,0,239.29999995231628,0.39913797423946334,0.78203125,106.71875,1133.6875,146.71875,1162.0298295454545,1,12,They were inspired by game consoles,0,12,36261,1134,135,5342,655,163,5770,479.82,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,14, were ,5770,655,163,1,312.39999997615814,0.14944976925807596,0.40703125,146.71875,625.421875,186.71875,669.4375,2,2,They were inspired by game consoles,0,14,36261,655,163,5770,611,163,6401,44.00,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,13, interviewees ,6401,611,163,1,630.8999999761581,0.9684229153422161,0.55703125,146.71875,517.0561079545455,186.71875,625.421875,2,1,They were inspired by game consoles,0,13,36261,611,163,6401,627,170,6602,17.46,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,14, were ,6602,627,170,0,200.70000004768372,0.9673411430599929,0.63203125,146.71875,625.421875,186.71875,669.4375,2,2,They were inspired by game consoles,0,14,36261,627,170,6602,723,174,7119,96.08,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,16, the ,7119,723,174,0,400.5,0.916991933385376,0.60703125,146.71875,721.46875,186.71875,751.4921875,2,4,They were inspired by game consoles,0,16,36261,723,174,7119,865,172,7736,142.01,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,20, based ,7736,865,172,0,383.1999999284744,0.9705117085862967,0.55703125,146.71875,855.546875,186.71875,909.59375,2,8,They were inspired by game consoles,0,20,36261,865,172,7736,965,165,8158,100.24,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,23, movements ,8158,965,165,0,355.60000002384186,0.3300661407283449,0.48203125,146.71875,964.640625,186.71875,1062.6796875,2,11,They were inspired by game consoles,0,23,36261,965,165,8158,655,187,9120,310.78,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,27," limbs,” ",9120,655,187,1,762,0.09603987068965517,0.55703125,186.71875,600.4296875,226.71875,658.4296875,3,2,They were inspired by game consoles,0,27,36261,655,187,9120,596,209,9791,62.97,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,26, individual ,9791,596,209,1,671.2999999523163,0.9588636170031518,0.70703125,186.71875,517.0561079545455,226.71875,600.4296875,3,1,They were inspired by game consoles,0,26,36261,596,209,9791,605,213,9958,9.85,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,27," limbs,” ",9958,605,213,0,166.70000004768372,0.9236260775862069,0.68203125,186.71875,600.4296875,226.71875,658.4296875,3,2,They were inspired by game consoles,0,27,36261,605,213,9958,782,229,10567,177.72,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,44, someone ,10567,782,229,0,392.2999999523163,0.17402905425437296,0.08203125,226.71875,781.2421875,266.71875,860.296875,4,6,They were inspired by game consoles,0,44,36261,782,229,10567,795,225,10737,13.60,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,31, Anderson ,10737,795,225,0,169.89999997615814,0.0367816091954023,0.38203125,186.71875,787,226.71875,868.5625,3,6,They were inspired by game consoles,0,31,36261,795,225,10737,786,202,11036,24.70,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,30, says. ,11036,786,202,1,299.60000002384186,0.9140218303946264,0.35703125,186.71875,740.4765625,226.71875,787,3,5,They were inspired by game consoles,0,30,36261,786,202,11036,913,195,11569,127.19,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,33," “First, ",11569,913,195,0,333.6999999284744,0.9886624789336602,0.55703125,186.71875,911.5859375,226.71875,962.578125,3,8,They were inspired by game consoles,0,33,36261,913,195,11569,1001,214,12068,90.03,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,35, looked ,12068,1001,214,0,415.89999997615814,0.9372812920592194,0.68203125,186.71875,990.59375,226.71875,1048.640625,3,10,They were inspired by game consoles,0,35,36261,1001,214,12068,1070,213,12503,69.01,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,37, how ,12503,1070,213,0,400.89999997615814,0.009040476679679475,0.90703125,186.71875,1068.65625,226.71875,1106.6796875,3,12,They were inspired by game consoles,0,37,36261,1070,213,12503,522,227,13408,548.18,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,39, different ,13408,522,227,1,450,0.9712293870566272,0.50703125,226.71875,517.0561079545455,266.71875,590.1015625,4,1,They were inspired by game consoles,0,39,36261,522,227,13408,642,249,13954,122.00,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,41, parts ,13954,642,249,0,412.8000000715256,0.9519347562033663,0.55703125,226.71875,634.140625,266.71875,679.1640625,4,3,They were inspired by game consoles,0,41,36261,642,249,13954,683,251,14185,41.05,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,42, showed ,14185,683,251,0,231,0.9819389419715684,0.88203125,226.71875,679.1640625,266.71875,746.2109375,4,4,They were inspired by game consoles,0,42,36261,683,251,14185,784,258,14836,101.24,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,44, someone ,14836,784,258,0,517.3999999761581,0.9076983891688902,0.58203125,226.71875,781.2421875,266.71875,860.296875,4,6,They were inspired by game consoles,0,44,36261,784,258,14836,945,248,15152,161.31,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
S9HDNDC8,697a7a786280413b17b20834,2,int,2,5,9,10,47, We ,15152,945,248,0,166.39999997615814,0.9361439842209073,0.70703125,226.71875,944.3359375,266.71875,976.0234375,4,9,They were inspired by game consoles,0,47,36261,945,248,15152,1028,265,15686,84.72,,,2026-07-06,2026-07-06,2026-07-06T22:07:29.273Z,19:07:29,2026-07-06 19:07:29,,,,,,,spotlight-prolific
