participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,32, don’t ,1249,638,190,0,582.8000000007451,0.053079312428578655,0.22718734741210939,180.91250610351562,617.662519454956,220.91250610351562,661.7000255584717,3,5,A quality e-bike,1,32,41348,638,190,1249,463,102,1815,195.88,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,2," succeed, ",1815,463,102,1,166.60000000149012,0.03601556168409961,0.277187580645069,100.91249465942383,453.2250003814697,140.91250228881836,530.275016784668,1,2,A quality e-bike,1,2,41348,463,102,1815,452,113,2531,15.56,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,1, To ,2531,452,113,1,716.1999999992549,0.9916709925927684,0.3771875615715863,100.91249465942383,426.21093130111694,140.91250228881836,453.2250003814697,1,1,A quality e-bike,1,1,41348,452,113,2531,458,116,4230,6.71,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,2," succeed, ",4230,458,116,0,1698.5999999977648,0.9964306719517252,0.5271875329613622,100.91249465942383,453.2250003814697,140.91250228881836,530.275016784668,1,2,A quality e-bike,1,2,41348,458,116,4230,532,121,4530,74.17,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,3, the ,4530,532,121,0,299.5,0.9900081258480836,0.3771875615715863,100.91249465942383,530.275016784668,140.91250228881836,560.3000059127808,1,3,A quality e-bike,1,3,41348,532,121,4530,561,116,5047,29.43,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,4, electric ,5047,561,116,0,517,0.9141475017321049,0.47718754249810363,100.91249465942383,560.3000059127808,140.91250228881836,622.3250007629395,1,4,A quality e-bike,1,4,41348,561,116,5047,624,120,5279,63.13,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,5, bike ,5279,624,120,0,232.80000000074506,0.9907948730501668,0.5021875377297329,100.91249465942383,622.3250007629395,140.91250228881836,660.350025177002,1,5,A quality e-bike,1,5,41348,624,120,5279,664,122,5797,40.05,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,6, business ,5797,664,122,0,517.6000000014901,0.9947398815603068,0.6771875043511383,100.91249465942383,660.350025177002,140.91250228881836,736.400032043457,1,6,A quality e-bike,1,6,41348,664,122,5797,756,128,6111,92.20,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,8, the ,6111,756,128,0,199.5,0.952122606772739,0.652187509119509,100.91249465942383,755.4125308990479,140.91250228881836,785.437518119812,1,8,A quality e-bike,1,8,41348,756,128,6111,816,127,6562,60.01,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,10, must ,6562,816,127,0,349.79999999701977,0.9440495766196414,0.652187509119509,100.91249465942383,815.4500064849854,140.91250228881836,859.4625186920166,1,10,A quality e-bike,1,10,41348,816,127,6562,860,127,7344,44.00,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,11, overcome ,7344,860,127,0,781.6000000014901,0.9940501384832254,0.7271874948143969,100.91249465942383,859.4625186920166,140.91250228881836,943.5000114440918,1,11,A quality e-bike,1,11,41348,860,127,7344,944,130,7793,84.05,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
FCXXJM7V,6a0903e7344d1ef23b7ebf15,1,ele,7,4,4,5,12," legal, ",7793,944,130,0,449.1000000014901,0.967993355221334,0.7521874900460263,100.91249465942383,943.5000114440918,140.91250228881836,991.537519454956,1,12,A quality e-bike,1,12,41348,944,130,7793,992,131,8242,48.01,,,2026-06-27,2026-06-27,2026-06-27T14:10:02.053Z,07:10:02,2026-06-27 07:10:02,,,,,,,spotlight-prolific
