responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
56,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832258.399999991,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
106,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832308.5,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
156,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832358.5,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
206,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832408.599999994,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
257,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832459.199999988,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
307,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832509.099999994,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
357,raw_position_sample,2,3,adv,12,1,15,16,-1,999,305,90,1832559.099999994,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
406,raw_position_sample,2,3,adv,12,1,15,16,-1,999,344,97,1832608.799999997,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
456,raw_position_sample,2,3,adv,12,1,15,16,-1,999,359,108,1832658.699999988,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
506,raw_position_sample,2,3,adv,12,1,15,16,-1,999,367,112,1832708.899999991,69f96e0777631f430cd05173,69f96e0777631f430cd05173,advanced,1,69f96e0777631f430cd05173,69f96e0777631f430cd05173,spotlight_PROLIFIC,,24,mexico,spanish,english,,spanish:65|English:35,100,spanish:30|English:70,100,spanish:50|English:50,100,20,5,Bachelor's,10,10,10,9,9,10,10,20,20,20,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-01T11:54:34.035Z,X72DBBDY,2026-09-01,2026-09-01,05:54:34,2026-09-01 05:54:34,,,,,,,,69f96e0777631f430cd05173,69f96e0777631f430cd05173,,,,
