participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,3, involved ,1459,541,117,0,215.0999999642372,0.9984131610409918,0.5109373828768506,101.56250858306885,539.212516784668,141.56250095367432,610.1125068664551,1,3,They varied depending on the time of the year during which the child was born,1,3,44983,541,117,1459,661,122,2000,120.10,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,5, boys ,2000,661,122,0,387.80000001192093,0.9975912072680665,0.6609374114870856,101.56250858306885,660.5750007629395,141.56250095367432,702.100025177002,1,5,They varied depending on the time of the year during which the child was born,1,5,44983,661,122,2000,704,128,2167,43.42,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,6, and ,2167,704,128,0,166.69999998807907,0.8875685243957663,0.6609374114870856,101.56250858306885,702.100025177002,141.56250095367432,735.7875366210938,1,6,They varied depending on the time of the year during which the child was born,1,6,44983,704,128,2167,773,126,2459,69.03,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,8, aged ,2459,773,126,0,201.0999999642372,0.9991145039542731,0.5109373828768506,101.56250858306885,772.675012588501,141.56250095367432,815.0375118255615,1,8,They varied depending on the time of the year during which the child was born,1,8,44983,773,126,2459,817,122,2667,44.18,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,9, between ,2667,817,122,0,208.4000000357628,0.9906650508373752,0.4859373781084782,101.56250858306885,815.0375118255615,141.56250095367432,888.6875190734863,1,9,They varied depending on the time of the year during which the child was born,1,9,44983,817,122,2667,953,121,2980,136.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,12, 16 ,2980,953,121,0,165.5,0.9823524624693627,0.4359373685717332,101.56250858306885,952.9500122070312,141.56250095367432,978.4500122070312,1,12,They varied depending on the time of the year during which the child was born,1,12,44983,953,121,2980,1022,121,3292,69.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,14, 26 ,3292,1022,121,0,180,0.017156642200988066,0.5859373971819681,101.56250858306885,1020.5625057220459,141.56250095367432,1046.0625,1,14,They varied depending on the time of the year during which the child was born,1,14,44983,1022,121,3292,888,131,4327,134.37,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,9, between ,4327,888,131,1,187.5999999642372,0.9906650508373752,0.6859374162554581,101.56250858306885,815.0375118255615,141.56250095367432,888.6875190734863,1,9,They varied depending on the time of the year during which the child was born,1,9,44983,888,131,4327,924,123,4625,36.88,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,11, and ,4625,924,123,0,263.7999999523163,0.021892197098226103,0.6859374162554581,101.56250858306885,919.2625064849854,141.56250095367432,952.9500122070312,1,11,They varied depending on the time of the year during which the child was born,1,11,44983,924,123,4625,884,137,5716,42.38,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,9, between ,5716,884,137,1,430.69999998807907,0.026646136881320844,0.985937473475928,101.56250858306885,815.0375118255615,141.56250095367432,888.6875190734863,1,9,They varied depending on the time of the year during which the child was born,1,9,44983,884,137,5716,806,142,6043,78.16,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,23, 2007 ,6043,806,142,1,306.7999999523163,0.5425871875064521,0.010937477201221199,141.56250095367432,764.8375129699707,181.56249713897705,811.2125244140625,2,8,They varied depending on the time of the year during which the child was born,1,23,44983,806,142,6043,790,141,6313,16.03,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,8, aged ,6313,790,141,1,269.80000001192093,0.8810855847439121,0.6109374019503406,101.56250858306885,772.675012588501,141.56250095367432,815.0375118255615,1,8,They varied depending on the time of the year during which the child was born,1,8,44983,790,141,6313,892,118,6855,104.56,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
AWBJWAUY,697bb44fa8f4dd93d1ba1204,2,int,3,2,12,13,10, ten ,6855,892,118,0,472.10000002384186,0.8932949197631281,0.4109373638033607,101.56250858306885,888.6875190734863,141.56250095367432,919.2625064849854,1,10,They varied depending on the time of the year during which the child was born,1,10,44983,892,118,6855,979,118,7132,87.00,,,2026-07-02,2026-07-02,2026-07-02T21:45:42.548Z,17:45:42,2026-07-02 17:45:42,,,,,,,spotlight-prolific
