participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,1, Japanese ,1068,300,78,0,583.3999998569489,0.9825643573291,0.5510416030883789,55.958335876464844,293.29429092407224,95.95833587646484,380.5208511352539,1,1,That it is unnecessarily long,1,1,46201,300,78,1068,383,78,1601,83.00,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,2, employees ,1601,383,78,0,533.4000000953674,0.917732081367372,0.4260416030883789,55.958335876464844,380.5208511352539,95.95833587646484,472.5729331970215,1,2,That it is unnecessarily long,1,2,46201,383,78,1601,508,69,2151,125.32,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,4, allowed ,2151,508,69,0,449.89999985694885,0.8843846693998382,0.3760416030883789,55.958335876464844,503.5937604904175,95.95833587646484,569.6354293823242,1,4,That it is unnecessarily long,1,4,46201,508,69,2151,604,75,2701,96.19,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,6, average ,2701,604,75,0,500,0.9754645175318676,0.4260416030883789,55.958335876464844,594.6666870117188,95.95833587646484,664.7187614440918,1,6,That it is unnecessarily long,1,6,46201,604,75,2701,685,74,3234,81.01,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,8, 18.5 ,3234,685,74,0,517,0.9804885500612086,0.4260416030883789,55.958335876464844,684.7396039962769,95.95833587646484,724.781270980835,1,8,That it is unnecessarily long,1,8,46201,685,74,3234,772,72,3901,87.02,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,10, paid ,3901,772,72,0,516.5,0.9186225101968393,0.32604160308837893,55.958335876464844,771.1354274749756,95.95833587646484,810.1771144866943,1,10,That it is unnecessarily long,1,10,46201,772,72,3901,815,68,4118,43.19,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,11, holiday ,4118,815,68,0,216.69999980926514,0.9963063536121588,0.2760416030883789,55.958335876464844,810.1771144866943,95.95833587646484,872.2291984558105,1,11,That it is unnecessarily long,1,11,46201,815,68,4118,873,67,4351,58.01,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,12, a ,4351,873,67,0,233.40000009536743,0.2510384615360196,0.2760416030883789,55.958335876464844,872.2291984558105,95.95833587646484,887.2500104904175,1,12,That it is unnecessarily long,1,12,46201,873,67,4351,385,104,4884,489.40,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,15, than ,4884,385,104,1,350,0.41285091742081365,0.2760415767630027,95.95833587646484,346.4687614440918,135.9583396911621,386.5104274749756,2,2,That it is unnecessarily long,1,15,46201,385,104,4884,343,111,5485,42.58,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,14, fewer ,5485,343,111,1,600.2999999523163,0.953572430154009,0.5260415529211471,95.95833587646484,293.29429092407224,135.9583396911621,346.4687614440918,2,1,That it is unnecessarily long,1,14,46201,343,111,5485,348,117,5834,7.81,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,15, than ,5834,348,117,0,349.80000019073486,0.9872525914735442,0.5010415553053327,95.95833587646484,346.4687614440918,135.9583396911621,386.5104274749756,2,2,That it is unnecessarily long,1,15,46201,348,117,5834,388,116,6018,40.01,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
53G9KH6Y,613e868f4d6c157238b8fd87,1,ele,13,2,2,3,16, the ,6018,388,116,0,183.5,0.9819625610089381,0.47604155768951817,95.95833587646484,386.5104274749756,135.9583396911621,416.54168701171875,2,3,That it is unnecessarily long,1,16,46201,388,116,6018,421,115,6219,33.02,,,2026-07-02,2026-07-02,2026-07-02T20:57:25.215Z,14:57:25,2026-07-02 14:57:25,,,,,,,spotlight-prolific
