responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
45,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083106.3000000003,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
93,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083154.8000000003,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
144,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083205.1,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
194,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083255.6,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
245,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083306.3000000003,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
294,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083355.8000000003,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
345,raw_position_sample,2,1,ele,21,5,14,15,-1,999,648,104,2083406.4,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
395,raw_position_sample,2,1,ele,21,5,14,15,1, Ice ,733,135,2083456.8000000003,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,129.7569580078125,732.1181030273438,149.7569580078125,761.1285209655762,1,1,,,,,,,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
406,hover_association,2,1,ele,21,5,14,15,1, Ice ,733,135,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,119.7569580078125,729.2170612335206,159.7569580078125,761.1284999847412,1,1,hover,11.599999999627471,11.599999999627471,0.5572590726828079,0.5310760498046875,99,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
423,hover_association,2,1,ele,21,5,14,15,2, cream ,764,147,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,elementary,5,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,spotlight_PROLIFIC,,22,México,Spanish,"Spanish, English, French, German",French|German,Spanish:80|English:15|French:3|German:2,100,Spanish:50|English:40|French:8|German:2,100,Spanish:50|English:40|French:5|German:5,100,20,15,Bachelor's,9,9,9,8,8,8,6,13,7,9,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,119.7569580078125,761.1284999847412,159.7569580078125,816.1111335754395,1,2,hover,17.800000000745058,17.800000000745058,0.6342275321849665,0.9560760498046875,99,,,,,,2026-07-02T16:26:46.838Z,Z5MP3C6H,2026-07-02,2026-07-02,10:26:46,2026-07-02 10:26:46,,,,,,,,6983aee35d6a46461cfad3c6,6983aee35d6a46461cfad3c6,,,,
