participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,1, The ,2198,376,89,0,632.7999999821186,0.9014428762910983,0.594921875,56.203125,337.271875,96.203125,376.90625,1,1,Yes,0,1,1900,376,89,2198,440,75,2548,65.51,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,3, tram ,2548,440,75,0,249.90000000596046,0.952,0.469921875,56.203125,438.953125,96.203125,479.96875,1,3,Yes,0,3,1900,440,75,2548,561,80,2965,121.10,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,6, the ,2965,561,80,0,208.09999999403954,0.9651404786680541,0.569921875,56.203125,560.015625,96.203125,590.046875,1,6,Yes,0,6,1900,561,80,2965,592,79,3165,31.02,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,7, station ,3165,592,79,0,199.90000000596046,0.877792732166891,0.544921875,56.203125,590.046875,96.203125,648.09375,1,7,Yes,0,7,1900,592,79,3165,797,79,3764,205.00,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,11, Commuters ,3764,797,79,0,316.59999999403954,0.9811892236569425,0.719921875,56.203125,796.828125,96.203125,894.84375,1,11,Yes,0,11,1900,797,79,3764,896,85,4098,99.18,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,,,900,1,12, stepped ,4098,896,85,0,333.19999998807907,0.060180995475113123,0.719921875,56.203125,894.84375,96.203125,963.90625,1,12,Yes,0,12,1900,896,85,4098,,,,,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,10,1,1,2,2, Zaglumyonova ,984,401,78,0,299.7000000178814,0.9593753967246413,0.969921875,56.203125,397.921875,96.203125,521,1,2,The balcony collapsed,0,2,5780,401,78,984,716,93,1567,315.36,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,10,1,1,2,9, central ,1567,716,93,0,183,0.9801482265749074,0.994921875,56.203125,713.140625,96.203125,772.171875,1,9,The balcony collapsed,0,9,5780,716,93,1567,397,191,2567,333.71,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,10,1,1,2,40, hanging ,2567,397,191,1,299.69999998807907,0.9731135816742172,0.919921875,176.203125,337.3095703125,216.203125,409.953125,4,1,The balcony collapsed,0,40,5780,397,191,2567,355,175,4348,44.94,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,2,int,10,1,1,2,26, houseplants. ,4348,355,175,1,366.40000000596046,0.9552334972065066,0.419921875,136.203125,337.3095703125,176.203125,447.953125,3,1,The balcony collapsed,0,26,5780,355,175,4348,865,142,5431,511.07,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
