responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
34,raw_position_sample,2,1,ele,9,1,1,2,-1,999,220,88,903399.7999999998,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
84,raw_position_sample,2,1,ele,9,1,1,2,-1,999,217,89,903450,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
135,raw_position_sample,2,1,ele,9,1,1,2,-1,999,210,94,903500.5,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
185,raw_position_sample,2,1,ele,9,1,1,2,-1,999,208,98,903550.5999999996,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
234,raw_position_sample,2,1,ele,9,1,1,2,-1,999,208,107,903599.7999999998,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
284,raw_position_sample,2,1,ele,9,1,1,2,-1,999,213,115,903649.9000000004,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
334,raw_position_sample,2,1,ele,9,1,1,2,-1,999,219,119,903700.4000000004,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
384,raw_position_sample,2,1,ele,9,1,1,2,-1,999,227,120,903750.4000000004,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
434,raw_position_sample,2,1,ele,9,1,1,2,-1,999,241,120,903800.4000000004,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
484,raw_position_sample,2,1,ele,9,1,1,2,-1,999,257,115,903850.4000000004,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,elementary,1,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,spotlight_PROLIFIC,,31,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:50|English:50,100,Spanish:60|English:40,100,24,2,Master's,10,10,10,8,10,10,12,27,3,25,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-21T23:34:21.987Z,S5LLTYYA,2026-09-21,2026-09-21,17:34:21,2026-09-21 17:34:21,,,,,,,,6a25edf880a594a50feec23b,6a25edf880a594a50feec23b,,,,
