participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,1, “Our ,1417,397,118,0,267,0.9463633074300661,0.30583343505859373,99.76666259765625,396.9486134847005,139.76666259765625,441.3833312988281,1,1,Perphrey’s study,1,1,81099,397,118,1417,443,112,2083,46.39,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,2, study ,2083,443,112,0,666,0.9913252063628814,0.28083343505859376,99.76666259765625,441.3833312988281,139.76666259765625,489.4166793823242,1,2,Perphrey’s study,1,2,81099,443,112,2083,490,111,2651,47.01,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,3, suggests ,2651,490,111,0,568,0.941825106951771,0.35583343505859377,99.76666259765625,489.4166793823242,139.76666259765625,566.4833450317383,1,3,Perphrey’s study,1,3,81099,490,111,2651,571,113,2884,81.02,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,4, that ,2884,571,113,0,233,0.9281637374787315,0.33083343505859375,99.76666259765625,566.4833450317383,139.76666259765625,601.5166625976562,1,4,Perphrey’s study,1,4,81099,571,113,2884,602,114,3599,31.02,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,5, oxytocin ,3599,602,114,0,716,0.006802778796402533,0.38083343505859374,99.76666259765625,601.5166625976562,139.76666259765625,672.5666580200195,1,5,Perphrey’s study,1,5,81099,602,114,3599,600,116,3950,2.83,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,4, that ,3950,600,116,1,350,0.8139867117810172,0.5058334350585938,99.76666259765625,566.4833450317383,139.76666259765625,601.5166625976562,1,4,Perphrey’s study,1,4,81099,600,116,3950,602,120,4251,4.47,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,5, oxytocin ,4251,602,120,0,301,0.9075769395763726,0.5308334350585937,99.76666259765625,601.5166625976562,139.76666259765625,672.5666580200195,1,5,Perphrey’s study,1,5,81099,602,120,4251,674,121,4701,72.01,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,6, might ,4701,674,121,0,449,0.9673694735374588,0.5558334350585937,99.76666259765625,672.5666580200195,139.76666259765625,721.599983215332,1,6,Perphrey’s study,1,6,81099,674,121,4701,725,122,4901,51.01,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,7, treat ,4901,725,122,0,201,0.9358253015486809,0.5308334350585937,99.76666259765625,721.599983215332,139.76666259765625,762.63330078125,1,7,Perphrey’s study,1,7,81099,725,122,4901,769,121,5434,44.01,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
FUHV56JP,697d53110b26e92702c05e53,2,int,15,4,4,5,8, something ,5434,769,121,0,533,0.9691581680136985,0.43083343505859373,99.76666259765625,762.63330078125,139.76666259765625,850.7166519165039,1,8,Perphrey’s study,1,8,81099,769,121,5434,879,126,5868,110.11,,,2026-07-02,2026-07-02,2026-07-02T18:50:44.550Z,13:50:44,2026-07-02 13:50:44,,,,,,,spotlight-prolific
