responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
50,raw_position_sample,2,2,int,15,1,14,15,-1,999,560,112,1264493.7000000011,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
99,raw_position_sample,2,2,int,15,1,14,15,-1,999,556,109,1264542.0999999996,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
150,raw_position_sample,2,2,int,15,1,14,15,-1,999,556,109,1264593,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
192,raw_position_sample,2,2,int,15,1,14,15,-1,999,556,109,1264634.9000000004,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
250,raw_position_sample,2,2,int,15,1,14,15,-1,999,556,109,1264693,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
292,raw_position_sample,2,2,int,15,1,14,15,-1,999,566,116,1264735.0999999996,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
351,raw_position_sample,2,2,int,15,1,14,15,1, According ,629,152,1264793.8000000007,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,123.265625,625.375,143.265625,710.421875,1,1,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
351,hover_association,2,2,int,15,1,14,15,1, According ,629,152,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,113.265625,621.5092329545455,153.265625,710.421875,1,1,hover,17.199999999254942,17.199999999254942,0.08424861609246777,0.968359375,115,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
401,raw_position_sample,2,2,int,15,1,14,15,12, oxytocin ,652,161,1264844,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,163.265625,625.375,183.265625,696.421875,2,1,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
451,raw_position_sample,2,2,int,15,1,14,15,12, oxytocin ,652,161,1264893.9000000004,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,intermediate,1,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,spotlight_PROLIFIC,,57,Mexico,Spanish,"Spanish, English",,Spanish:80|English:20,100,Spanish:80|English:20,100,Spanish:70|English:30,100,15,5,Bachelor's,10,10,10,5,7,8,15,20,15,16,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,163.265625,625.375,183.265625,696.421875,2,1,,,,,,,,,,,,2026-07-02T21:08:02.423Z,CAVR2MQU,2026-07-02,2026-07-02,15:08:02,2026-07-02 15:08:02,,,,,,,,6170a0c73272afad9eff9da9,6170a0c73272afad9eff9da9,,,,
