participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,word_index,WordIndex,word,response,response_correct,line_number,position_in_line,click_count,skipped,IA_FIRST_RUN_DWELL_TIME,IA_DWELL_TIME,IA_FIRST_FIXATION_DURATION,go_past_time_ms,Wilcox go past,IA_REGRESSION_IN,IA_REGRESSION_OUT,text_total_viewing_time_ms,first_click_x,first_click_duration_ms,total_duration_ms,next_click_regression,first_click_y,x_distance_from_previous_click_px,x_distance_from_previous_click_chars,first_click_x_from_word_left_chars,first_click_x_from_word_center_chars,first_click_x_from_line_start_px,first_click_x_from_line_start_chars,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,1,1, The ,No,1,1,1,2,0,317,650.5,316.7000000476837,317,298,1,0,12899,622,316.7000000476837,650.5,0,138,,,0.0288,-2.4712,0.23,0.0288,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,2,2, coastal ,No,1,1,2,3,0,501,850.7000000476837,500.5,501,502,1,1,12899,664,500.5,850.7000000476837,0,146,42.00,6.0922,0.3762,-4.1238,42.23,6.1253,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,3,3, tram ,No,1,1,3,2,0,284,517.2000000476837,283.59999990463257,284,307,0,0,12899,727,283.59999990463257,517.2000000476837,0,148,63.00,9.2160,0.5189,-2.4811,105.23,15.3934,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,4,4, arrived ,No,1,1,4,3,0,384,884.7999999523163,383.90000009536743,384,343,1,0,12899,766,383.90000009536743,884.7999999523163,0,148,39.00,5.8470,0.2296,-4.2704,144.23,21.6230,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,5,5, at ,No,1,1,5,2,0,217,416.7999999523163,216.70000004768372,417,,0,1,12899,827,216.70000004768372,416.7999999523163,0,142,5.00,0.9992,0.4996,-1.5004,205.23,41.0136,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,6,6,,No,1,,,0,1,,,,,,,,12899,,,,,,,,,,,,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,7,7, station ,No,1,1,7,1,0,350,350.39999985694885,350.39999985694885,350,,0,0,12899,876,350.39999985694885,350.39999985694885,0,147,50.00,7.7524,0.2253,-4.2747,254.23,39.4173,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,8,8, two ,No,1,1,8,1,0,334,333.7000000476837,333.7000000476837,334,,0,0,12899,934,333.7000000476837,333.7000000476837,0,146,58.00,8.7837,0.2130,-2.2870,312.23,47.2849,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,9,9, minutes ,No,1,1,9,1,0,300,300.2999999523163,300.2999999523163,300,,0,0,12899,970,300.2999999523163,300.2999999523163,0,140,36.00,4.7625,0.5808,-3.9192,348.23,46.0678,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
7RTD5YG4,69fbcdbb8a30de333833976e,2,int,,,900,1,10,10,,No,1,,,0,1,,,,,,,,12899,,,,,,,,,,,,Computer Mouse,Right,2026-08-25,2026-08-25,2026-08-25T07:31:43.069Z,01:31:43,2026-08-25 01:31:43,2026-08-25,2026-08-25T08:16:16.923Z,02:16:16,2026-08-25 02:16:16,2673854,2673854,spotlight-prolific
