participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,1," Butare, ",1267,338,80,0,299.2999999523163,0.9711211113285072,0.619921875,57.203125,337.3723958333333,97.203125,403.921875,1,1,Some are local and some are not local,1,1,37312,338,80,1267,406,82,1519,68.03,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,2, which ,1519,406,82,0,251.79999995231628,0.981322718922229,0.619921875,57.203125,403.921875,97.203125,454.953125,1,2,Some are local and some are not local,1,2,37312,406,82,1519,457,82,1688,51.00,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,3, has ,1688,457,82,0,169.10000014305115,0.9416896235078053,0.594921875,57.203125,454.953125,97.203125,488.984375,1,3,Some are local and some are not local,1,3,37312,457,82,1688,492,81,2034,35.01,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,4," 89,600 ",2034,492,81,0,345.7999999523163,0.2333506763787721,0.544921875,57.203125,488.984375,97.203125,549.046875,1,4,Some are local and some are not local,1,4,37312,492,81,2034,452,80,2584,40.01,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,2, which ,2584,452,80,1,481.7000000476837,0.9421310471524801,0.719921875,57.203125,403.921875,97.203125,454.953125,1,2,Some are local and some are not local,1,2,37312,452,80,2584,489,86,3000,37.48,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,4," 89,600 ",3000,489,86,0,281.2999999523163,0.9992195629552549,0.769921875,57.203125,488.984375,97.203125,549.046875,1,4,Some are local and some are not local,1,4,37312,489,86,3000,551,88,3551,62.03,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,5, residents ,3551,551,88,0,551.4000000953674,0.9731731731731732,0.719921875,57.203125,549.046875,97.203125,627.09375,1,5,Some are local and some are not local,1,5,37312,551,88,3551,681,86,4000,130.02,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,8, located ,4000,681,86,0,298.09999990463257,0.9494423791821561,0.644921875,57.203125,680.140625,97.203125,743.1875,1,8,Some are local and some are not local,1,8,37312,681,86,4000,744,83,4384,63.07,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,9, 135km ,4384,744,83,0,383.2999999523163,0.9962943356273161,0.669921875,57.203125,743.1875,97.203125,802.21875,1,9,Some are local and some are not local,1,9,37312,744,83,4384,803,84,4600,59.01,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,10, south ,4600,803,84,0,216.70000004768372,0.9538069448869066,0.794921875,57.203125,802.21875,97.203125,851.265625,1,10,Some are local and some are not local,1,10,37312,803,84,4600,902,93,5069,99.41,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,13," capital, ",5069,902,93,0,283.90000009536743,0.1930239559588836,0.969921875,57.203125,901.3125,97.203125,961.8619791666666,1,13,Some are local and some are not local,1,13,37312,902,93,5069,338,117,5919,564.51,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
YGHAVZKX,6a066b27937a9c89a4724de0,2,int,21,3,3,4,14," Kigali, ",5919,338,117,1,285,0.9321051916896755,0.494921875,97.203125,337.3723958333333,137.203125,394.90625,2,1,Some are local and some are not local,1,14,37312,338,117,5919,443,119,6468,105.02,,,2026-07-02,2026-07-02,2026-07-02T19:57:02.812Z,13:57:02,2026-07-02 13:57:02,,,,,,,spotlight-prolific
