participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,2, says ,434,370,80,0,316.5,0.8594272963927111,0.849609375,63.015625,365.890625,103.015625,407.90625,1,2,Certain types of light,1,2,18995,370,80,434,440,98,667,72.28,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,4, not ,667,440,98,0,166.70000004768372,0.7127991675338189,0.849609375,63.015625,434.59375,103.015625,464.625,1,4,Certain types of light,1,4,18995,440,98,667,574,96,1184,134.01,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,8, persuading ,1184,574,96,0,383.2000000476837,0.9495100481647567,0.549609375,63.015625,569.671875,103.015625,663.75,1,8,Certain types of light,1,8,18995,574,96,1184,664,84,1617,90.80,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,9, teenagers ,1617,664,84,0,433.0999999642372,0.9904481998530492,0.624609375,63.015625,663.75,103.015625,748.8125,1,9,Certain types of light,1,9,18995,664,84,1617,815,91,2017,151.16,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,13, bed ,2017,815,91,0,183.30000001192093,0.8595630851538119,0.774609375,63.015625,813.875,103.015625,848.921875,1,13,Certain types of light,1,13,18995,815,91,2017,911,94,2417,96.05,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,15, “The ,2417,911,94,0,283.69999998807907,0.21532168092227594,0.649609375,63.015625,907.953125,103.015625,949.96875,1,15,Certain types of light,1,15,18995,911,94,2417,395,154,2717,519.48,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,31, doesn’t ,2717,395,154,1,183.30000001192093,0.6856161770316673,0.024609375,143.015625,334.373046875,183.015625,400.921875,3,1,Certain types of light,1,31,18995,395,154,2717,375,135,3100,27.59,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,17, natural ,3100,375,135,1,383.0999999642372,0.9854934382395427,0.699609375,103.015625,334.373046875,143.015625,397.921875,2,1,Certain types of light,1,17,18995,375,135,3100,399,131,3283,24.33,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,18, rhythm ,3283,399,131,0,183.4000000357628,0.9010674303566779,0.749609375,103.015625,397.921875,143.015625,457.9375,2,2,Certain types of light,1,18,18995,399,131,3283,478,132,3666,79.01,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
YFXAMARB,699395d4db097a35f5fde573,3,adv,29,3,17,18,20, controlled ,3666,478,132,0,266.5999999642372,1,0.699609375,103.015625,475.9375,143.015625,559,2,4,Certain types of light,1,20,18995,478,132,3666,560,131,3850,82.01,,,2026-07-02,2026-07-02,2026-07-02T16:30:32.350Z,11:30:32,2026-07-02 11:30:32,,,,,,,spotlight-prolific
