responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
49,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,70,563334,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
96,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563380.3999999994,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
149,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563433.8999999994,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
196,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563481,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
245,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563530,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
297,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563581.8999999994,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
360,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563644.3999999994,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
407,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563691.2999999998,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
458,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563742.6999999993,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
509,raw_position_sample,2,3,adv,30,2,2,3,-1,999,250,69,563794.1999999993,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,advanced,2,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,spotlight_PROLIFIC,,34,Colombia,Spanish,English,,Spanish:60|English:40,100,Spanish:60|English:40,100,Spanish:70|English:30,100,8,5,Bachelor's,10,10,10,8,9,10,10,15,15,16,CEFR,c2,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T17:06:17.276Z,PAWRRL3P,2026-08-24,2026-08-24,12:06:17,2026-08-24 12:06:17,,,,,,,,69821f6e89e6c2b0ad41eacf,69821f6e89e6c2b0ad41eacf,,,,
