responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922368.8000000715,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
119,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922417.7000000477,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
167,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922465.2000000477,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
215,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922512.9000000954,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
262,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922560.2000000477,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
310,raw_position_sample,2,2,int,28,1,6,7,-1,999,386,89,922607.8000000715,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
358,raw_position_sample,2,2,int,28,1,6,7,-1,999,400,97,922655.8000000715,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
407,raw_position_sample,2,2,int,28,1,6,7,-1,999,429,109,922704.8000000715,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
455,raw_position_sample,2,2,int,28,1,6,7,1, Swedish ,455,117,922753.7000000477,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,111.1624984741211,433.2124938964844,131.1624984741211,506.24999237060547,1,1,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
499,hover_association,2,2,int,28,1,6,7,1, Swedish ,431,110,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,101.16249465942383,429.1548550923665,141.16250228881836,506.24999618530273,1,1,hover,87.10000002384186,87.10000002384186,0.9708153308573568,0.670937505543231,132,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
506,raw_position_sample,2,2,int,28,1,6,7,2, prisons ,508,129,922804,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,intermediate,1,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,spotlight_PROLIFIC,,29,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:20|English:80,100,Spanish:85|English:15,100,18,4,Bachelor's,10,10,10,8,10,10,6,21,6,8,,,,,19,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,111.1624984741211,506.25,131.1624984741211,569.2875022888184,1,2,,,,,,,,,,,,2026-09-22T00:29:49.941Z,6KMASJYH,2026-09-21,2026-09-21,18:29:49,2026-09-21 18:29:49,,,,,,,,6a1e14414e5c62cd2aa4bad0,6a1e14414e5c62cd2aa4bad0,,,,
