responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
22,raw_position_sample,2,2,int,11,2,6,7,-1,999,575,129,1211629.0000000002,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
76,raw_position_sample,2,2,int,11,2,6,7,-1,999,575,128,1211682,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
127,raw_position_sample,2,2,int,11,2,6,7,-1,999,575,128,1211734,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
179,raw_position_sample,2,2,int,11,2,6,7,-1,999,575,124,1211786,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
232,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1211838,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
284,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1211890,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
336,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1211942,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
388,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1211994,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
440,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1212046,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
492,raw_position_sample,2,2,int,11,2,6,7,-1,999,574,120,1212098,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,intermediate,2,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,spotlight_PROLIFIC,,48,Brazil,Portuguese,English Spanish,English Spanish,Portuguese:80|English:15|English Spanish:5,100,Portuguese:100|English:0|English Spanish:0,100,Portuguese:100|English:0|English Spanish:0,100,20,3,Master's,10,10,10,8,10,10,18,24,10,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-09T14:46:41.696Z,HCRUNFJ5,2026-08-09,2026-08-09,11:46:41,2026-08-09 11:46:41,,,,,,,,69c01a8850de221161ec7a56,69c01a8850de221161ec7a56,,,,
