participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,1, The ,3532,170,84,0,2625.100000143051,0.9519041236300559,0.4765625,72.9375,166.271875,112.9375,205.90625,1,1,Yes,0,1,23094,170,84,3532,206,92,3953,36.88,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,3953,206,92,0,421.69999980926514,0.9846386300679929,0.5515625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,206,92,3953,268,95,4547,62.07,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,3, tram ,4547,268,95,0,594.4000000953674,0.09866666666666667,0.4515625,72.9375,267.953125,112.9375,308.96875,1,3,Yes,0,3,23094,268,95,4547,261,91,4720,8.06,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,4720,261,91,1,172.59999990463257,0.03374464870309746,0.4515625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,261,91,4720,205,91,5095,56.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,1, The ,5095,205,91,1,375,0.8762122526216195,0.4515625,72.9375,166.271875,112.9375,205.90625,1,1,Yes,0,1,23094,205,91,5095,211,91,5282,6.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,5282,211,91,0,186.70000004768372,0.9524049357844372,0.5015625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,211,91,5282,271,93,6407,60.03,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,3, tram ,6407,271,93,0,1125.2999999523163,0.001142857142857143,0.5765625,72.9375,267.953125,112.9375,308.96875,1,3,Yes,0,3,23094,271,93,6407,263,96,9985,8.54,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,9985,263,96,1,3578,0.9201712415008814,0.3015625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,263,96,9985,167,96,12890,96.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,1, The ,12890,167,96,1,264.40000009536743,0.9266734999605771,0.6015625,72.9375,166.271875,112.9375,205.90625,1,1,Yes,0,1,23094,167,96,12890,206,97,13657,39.01,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,13657,206,97,0,766.8999998569489,0.017627801561319566,0.6015625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,206,97,13657,218,97,14564,12.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,2, coastal ,14564,218,97,0,422.39999985694885,0.9846386300679929,0.6015625,72.9375,205.90625,112.9375,267.953125,1,2,Yes,0,2,23094,218,97,14564,269,97,15126,51.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,3, tram ,15126,269,97,0,561.5,0.9763809523809523,0.6015625,72.9375,267.953125,112.9375,308.96875,1,3,Yes,0,3,23094,269,97,15126,309,97,15750,40.00,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
H6P8ZWV2,699dac17036635aae4e8c6aa,2,int,,,900,1,4, arrived ,15750,309,97,0,624.7999999523163,0.01717855283706403,0.6515625,72.9375,308.96875,112.9375,369,1,4,Yes,0,4,23094,309,97,15750,167,101,16735,142.06,Computer Mouse,Right,2026-08-16,2026-08-16,2026-08-16T10:39:59.967Z,07:39:59,2026-08-16 07:39:59,2026-08-16,2026-08-16T11:18:22.953Z,08:18:22,2026-08-16 08:18:22,2302986,2302986,spotlight-prolific
