responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
218,raw_position_sample,2,2,int,25,2,16,17,-1,999,486,94,2300946.9000000954,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
267,raw_position_sample,2,2,int,25,2,16,17,-1,999,490,99,2300995.9000000954,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
319,raw_position_sample,2,2,int,25,2,16,17,-1,999,516,116,2301047.100000143,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
368,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301096.9000000954,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
424,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301152.8000001907,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
471,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301199.8000001907,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
519,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301247.2000000477,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
582,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301310.5,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
625,raw_position_sample,2,2,int,25,2,16,17,1, “We ,545,129,2301354,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
674,raw_position_sample,2,2,int,25,2,16,17,1, “We ,547,129,2301402.2000000477,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
721,raw_position_sample,2,2,int,25,2,16,17,1, “We ,548,129,2301449.2000000477,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
769,raw_position_sample,2,2,int,25,2,16,17,1, “We ,549,129,2301497.100000143,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
819,raw_position_sample,2,2,int,25,2,16,17,1, “We ,551,129,2301547.4000000954,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,intermediate,2,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,spotlight_PROLIFIC,,34,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:60|English:40,100,Portuguese:100|English:0,100,15,4,Bachelor's,10,10,10,6,9,9,12,22,14,18,,,,,17,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,118.84942626953125,538.0255737304688,137.0312442779541,576.349437713623,1,1,,,,,,,,,,,,2026-07-07T21:10:14.804Z,VGDQQXKH,2026-07-07,2026-07-07,18:10:14,2026-07-07 18:10:14,,,,,,,,6a46f910b7e94d28fe209d86,6a46f910b7e94d28fe209d86,,,,
