participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,1, The ,667,436,126,0,300.30000000074506,0.9687715233951785,0.9209374578595242,101.16249465942383,429.6099937438965,141.16250228881836,469.2375068664551,1,1,It could set an example for other nations in regards to cocaine policy,1,1,9534,436,126,667,469,142,1034,36.67,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,16, Supporters ,1034,469,142,0,366.80000000074506,0.567302525997538,0.09593743363023437,141.16250228881836,433.2124938964844,181.16250610351562,526.2625045776367,2,1,It could set an example for other nations in regards to cocaine policy,1,16,9534,469,142,1034,469,128,1451,14.00,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,1, The ,1451,469,128,0,282.3999999985099,0.9687715233951785,0.6459375103116016,101.16249465942383,429.6099937438965,141.16250228881836,469.2375068664551,1,1,It could set an example for other nations in regards to cocaine policy,1,1,9534,469,128,1451,476,124,1786,8.06,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,2, decision ,1786,476,124,0,333.7000000011176,0.9678039651040945,0.6209375150799723,101.16249465942383,469.2375068664551,141.16250228881836,540.2875289916992,1,2,It could set an example for other nations in regards to cocaine policy,1,2,9534,476,124,1786,607,127,2002,131.03,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,5, coca ,2002,607,127,0,167.09999999962747,0.9912836937405849,0.6459375103116016,101.16249465942383,595.350019454956,141.16250228881836,638.3750190734863,1,5,It could set an example for other nations in regards to cocaine policy,1,5,9534,607,127,2002,640,127,2234,33.00,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,6, chewing ,2234,640,127,0,232.7000000011176,0.9095707591679608,0.5459375293850842,101.16249465942383,638.3750190734863,141.16250228881836,709.4249954223633,1,6,It could set an example for other nations in regards to cocaine policy,1,6,9534,640,127,2234,750,119,2668,110.29,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,8, based ,2668,750,119,0,299.09999999962747,0.9539779176664809,0.4709375436901963,101.16249465942383,746.4374942779541,141.16250228881836,800.4874935150146,1,8,It could set an example for other nations in regards to cocaine policy,1,8,9534,750,119,2668,846,120,2985,96.01,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,11, 1950 ,2985,846,120,0,200.19999999925494,0.8762482138849541,0.4709375436901963,101.16249465942383,840.5250182151794,141.16250228881836,885.5750179290771,1,11,It could set an example for other nations in regards to cocaine policy,1,11,9534,846,120,2985,564,166,4301,285.73,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,18, drug ,4301,564,166,1,183.2999999988824,0.9920797917052193,0.5709373883307086,141.16250228881836,546.2875242233276,181.16250610351562,587.3250255584717,2,3,It could set an example for other nations in regards to cocaine policy,1,18,9534,564,166,4301,596,164,4584,32.06,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
GBEJBLCJ,69187dfea6c5415f0ed531d0,1,ele,5,6,32,33,19, liberalization ,4584,596,164,0,283.2000000011176,0.977275312214743,0.5209373930990798,141.16250228881836,587.3250255584717,181.16250610351562,692.3875122070312,2,4,It could set an example for other nations in regards to cocaine policy,1,19,9534,596,164,4584,760,173,4952,164.25,,,,,1970-01-01T00:00:00.031Z,,,,,,,,,spotlight-prolific
