participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,1, The ,1895,444,103,0,173.20000000298023,0.0590861400119128,0.035937292277773335,101.56250858306885,429.74874382019044,141.56250095367432,467.8500003814697,1,1,Yes,0,1,20700,444,103,1895,431,119,3909,20.62,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,1, The ,3909,431,119,1,1694.199999999255,0.9776910144655558,0.4609373733401057,101.56250858306885,429.74874382019044,141.56250095367432,467.8500003814697,1,1,Yes,0,1,20700,431,119,3909,468,120,5135,37.01,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,2, coastal ,5135,468,120,0,1226.6000000014901,0.9918256574360423,0.4359373685717332,101.56250858306885,467.8500003814697,141.56250095367432,527.4874973297119,1,2,Yes,0,2,20700,468,120,5135,528,119,5670,60.01,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,3, tram ,5670,528,119,0,535,0.9827166264037689,0.3859373590349882,101.56250858306885,527.4874973297119,141.56250095367432,568.7125072479248,1,3,Yes,0,3,20700,528,119,5670,570,117,6117,42.05,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,4, arrived ,6117,570,117,0,446.80000000074506,0.9947564879289166,0.3859373590349882,101.56250858306885,568.7125072479248,141.56250095367432,628.3125133514404,1,4,Yes,0,4,20700,570,117,6117,629,117,6414,59.00,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,5, at ,6414,629,117,0,296.8999999985099,0.9837598202874296,0.3859373590349882,101.56250858306885,628.3125133514404,141.56250095367432,648.3250064849854,1,5,Yes,0,5,20700,629,117,6414,649,117,7030,20.00,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,6, the ,7030,649,117,0,615.3999999985099,0.8713758545957663,0.4109373638033607,101.56250858306885,648.3250064849854,141.56250095367432,678.9375066757202,1,6,Yes,0,6,20700,649,117,7030,680,118,7550,31.02,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,7, station ,7550,680,118,0,520.3000000007451,0.9816143219907584,0.4109373638033607,101.56250858306885,678.9375066757202,141.56250095367432,738.0875129699707,1,7,Yes,0,7,20700,680,118,7550,739,118,7777,59.00,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,8, two ,7777,739,118,0,226.69999999925494,0.9610339826687616,0.4359373685717332,101.56250858306885,738.0875129699707,141.56250095367432,773.3750133514404,1,8,Yes,0,8,20700,739,118,7777,777,119,8062,38.01,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,9, minutes ,8062,777,119,0,285.1000000014901,0.9866714109580873,0.4359373685717332,101.56250858306885,773.3750133514404,141.56250095367432,840.9000129699707,1,9,Yes,0,9,20700,777,119,8062,842,119,8417,65.00,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,10, early. ,8417,842,119,0,355.19999999925494,0.9644473614194738,0.5109373828768506,101.56250858306885,840.9000129699707,141.56250095367432,887.6625308990479,1,10,Yes,0,10,20700,842,119,8417,888,122,9097,46.10,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,11, Commuters ,9097,888,122,0,680.1999999992549,0.9981866128678155,0.6109374019503406,101.56250858306885,887.6625308990479,141.56250095367432,984.1750144958496,1,11,Yes,0,11,20700,888,122,9097,987,126,9750,99.08,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,12, stepped ,9750,987,126,0,653.4000000022352,0.9227093081223576,0.6359374067187131,101.56250858306885,984.1750144958496,141.56250095367432,1052.2625312805176,1,12,Yes,0,12,20700,987,126,9750,617,142,10911,370.35,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,18, collars ,10911,617,142,1,240,0.012957270964924014,0.41093755453826036,141.56250095367432,574.2875118255615,181.56249332427979,629.2750301361084,2,5,Yes,0,18,20700,617,142,10911,572,158,11085,47.76,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,17, their ,11085,572,158,1,173.69999999925494,0.020066947507464464,0.5109375736117503,141.56250095367432,533.1749973297119,181.56249332427979,574.2875118255615,2,4,Yes,0,17,20700,572,158,11085,463,162,12205,109.07,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,14, the ,12205,463,162,1,960.8000000007451,0.9464435464903813,0.6359375974536128,141.56250095367432,429.74874382019044,181.56249332427979,463.8250036239624,2,1,Yes,0,14,20700,463,162,12205,464,167,12485,5.10,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,15, fog ,12485,464,167,0,280.0999999977648,0.9462633525590625,0.6359375974536128,141.56250095367432,463.8250036239624,181.56249332427979,493.6000089645386,2,2,Yes,0,15,20700,464,167,12485,494,167,12846,30.00,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,16, with ,12846,494,167,0,360.80000000074506,0.9703095975955881,0.5609375831484953,141.56250095367432,493.6000089645386,181.56249332427979,533.1749973297119,2,3,Yes,0,16,20700,494,167,12846,534,164,13125,40.11,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,17, their ,13125,534,164,0,279.1000000014901,0.9930067078336805,0.5359375783801228,141.56250095367432,533.1749973297119,181.56249332427979,574.2875118255615,2,4,Yes,0,17,20700,534,164,13125,576,163,13459,42.01,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,18, collars ,13459,576,163,0,333.8999999985099,0.9949983169897731,0.48593756884337785,141.56250095367432,574.2875118255615,181.56249332427979,629.2750301361084,2,5,Yes,0,18,20700,576,163,13459,630,161,13992,54.04,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
2CY8NVXN,69e8f0cac0b19b4c6c2ccd42,2,int,,,900,1,19, raised. ,13992,630,161,0,533.6999999992549,0.36018300741262843,0.13593750208616295,141.56250095367432,629.2750301361084,181.56249332427979,684.038773727417,2,6,Yes,0,19,20700,630,161,13992,491,147,15153,139.70,Computer Mouse,Right,2026-07-07,2026-07-07,2026-07-07T20:20:27.352Z,17:20:27,2026-07-07 17:20:27,2026-07-07,2026-07-07T21:03:37.230Z,18:03:37,2026-07-07 18:03:37,2589878,2589878,spotlight-prolific
