responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
65,raw_position_sample,2,3,adv,12,2,2,3,-1,999,581,112,557356.5,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
106,raw_position_sample,2,3,adv,12,2,2,3,-1,999,581,110,557397.3000000007,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
157,raw_position_sample,2,3,adv,12,2,2,3,-1,999,581,110,557448.3999999985,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
205,raw_position_sample,2,3,adv,12,2,2,3,-1,999,581,110,557496.8999999985,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
264,raw_position_sample,2,3,adv,12,2,2,3,-1,999,605,107,557555.3000000007,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
310,raw_position_sample,2,3,adv,12,2,2,3,-1,999,639,107,557601.8999999985,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
357,raw_position_sample,2,3,adv,12,2,2,3,-1,999,660,108,557648.3000000007,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
418,raw_position_sample,2,3,adv,12,2,2,3,-1,999,660,108,557709.5,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
464,raw_position_sample,2,3,adv,12,2,2,3,-1,999,660,108,557755.3000000007,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
506,raw_position_sample,2,3,adv,12,2,2,3,-1,999,664,110,557797.1999999993,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,advanced,2,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,spotlight_PROLIFIC,,18,Chile,Spanish,"English,Portuguese",Portuguese,Spanish:85|English:10|Portuguese:5,100,Spanish:80|English:15|Portuguese:5,100,Spanish:20|English:60|Portuguese:20,100,14,0,PhD,10,10,10,7,9,8,6,14,8,13,,,,,19,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-22T00:07:39.228Z,NAK5CSBK,2026-09-21,2026-09-21,21:07:39,2026-09-21 21:07:39,,,,,,,,697ab5a3b3a52c1638f9a2f3,697ab5a3b3a52c1638f9a2f3,,,,
